"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Visibility","Thumbnail","Subject.conceptTopic","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Name.subject","Subject","Subject.descriptiveTopic","Name.repository","Rights.servicesContact","Language","Name.photographer","Name.donor","Name.correspondent","Subject geographic","Name.recipient","Rights.rightsHolderContact","Name.creator","Local identifier","Title","Description.abstract","Description.note","Alt ID.local","Summary","Date.normalized","Date.creation","Format.extent","Coverage.geographic","Description.caption","Description.latitude","Description.longitude","Alt ID.url","AltTitle.other","Note","Relation.isPartOf","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p0zm/3c06m90v","ark:/21198/zz0025p0zm","","","Page","gordo/image/yrlsc_gordonphotos_0002.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p0zm%2F3c06m90v"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p0zm/gn68vc89","ark:/21198/zz0025p0zm","","","Page","gordo/image/yrlsc_gordonphotos_0002_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p0zm%2Fgn68vc89"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p114/2h76hs1j","ark:/21198/zz0025p114","","","Page","gordo/image/yrlsc_gordonphotos_0004.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p114%2F2h76hs1j"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p114/jr04tj14","ark:/21198/zz0025p114","","","Page","gordo/image/yrlsc_gordonphotos_0004_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p114%2Fjr04tj14"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p198/hd718j27","ark:/21198/zz0025p198","","","Page","gordo/image/yrlsc_gordonphotos_0012.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p198%2Fhd718j27"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p198/vc91625t","ark:/21198/zz0025p198","","","Page","gordo/image/yrlsc_gordonphotos_0012_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p198%2Fvc91625t"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1dt/gf60c03w","ark:/21198/zz0025p1dt","","","Page","gordo/image/yrlsc_gordonphotos_0015_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1dt%2Fgf60c03w"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1dt/zw31tm12","ark:/21198/zz0025p1dt","","","Page","gordo/image/yrlsc_gordonphotos_0015.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1dt%2Fzw31tm12"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1jw/rj60z03r","ark:/21198/zz0025p1jw","","","Page","gordo/image/yrlsc_gordonphotos_0019_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1jw%2Frj60z03r"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1jw/zm16q85t","ark:/21198/zz0025p1jw","","","Page","gordo/image/yrlsc_gordonphotos_0019.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1jw%2Fzm16q85t"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1kd/fn645g5c","ark:/21198/zz0025p1kd","","","Page","gordo/image/yrlsc_gordonphotos_0020.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1kd%2Ffn645g5c"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p1kd/p3046m8s","ark:/21198/zz0025p1kd","","","Page","gordo/image/yrlsc_gordonphotos_0020_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1kd%2Fp3046m8s"
