"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Rights.countryCreation","Rights.rightsHolderContact","Rights.servicesContact","Language","Name.photographer","Name.subject","Subject","Name.repository","Name.creator","Relation.isPartOf","Alt ID.local","Format.dimensions","Format.extent","Title","Date.creation","Description.note","Publisher.publisherName","Description.contents","Description.abstract","Date.normalized","Format.medium","Finding Aid URL"," Opac url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfn6p","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfn6p_1311092_master.tif","9","","","text","","","","","","","","","","","","","","","","","","","","","page 09","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfn6p",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfn76","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfn76_1311089_master.tif","8","","","text","","","","","","","","","","","","","","","","","","","","","page 08","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfn76",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfn8q","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfn8q_1310894_master.tif","3","","","text","","","","","","","","","","","","","","","","","","","","","page 03","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfn8q",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfn97","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfn97_1310903_master.tif","4","","","text","","","","","","","","","","","","","","","","","","","","","page 04","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfn97",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfnbr","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfnbr_1311095_master.tif","10","","","text","","","","","","","","","","","","","","","","","","","","","page 10","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfnbr",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfnc8","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfnc8_1311084_master.tif","7","","","text","","","","","","","","","","","","","","","","","","","","","page 07","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfnc8",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfnds","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfnds_1310918_master.tif","6","","","text","","","","","","","","","","","","","","","","","","","","","page 06","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfnds",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfnf9","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfnf9_1310874_master.tif","1","","","text","","","","","","","","","","","","","","","","","","","","","page 01","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfnf9",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfngt","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfngt_1310909_master.tif","5","","","text","","","","","","","","","","","","","","","","","","","","","page 05","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfngt",""
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfnhb","ark:/21198/zz001nfn55","2","Completed","Page","griffith/masters/21198-zz001nfnhb_1310883_master.tif","2","","","text","","","","","","","","","","","","","","","","","","","","","page 02","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfnhb",""
