Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.countryCreation,Rights.servicesContact,Type.genre,Rights.permissionNote,Name.subject,Subject,Rights.creatorPersonName,Rights.rightsHolderName,AltTitle.uniform,Relation.isPartOf,Name.photographer,Name.repository,Name.creator,Alt ID.local,Format.extent,Date.creation,Title,Description.note,Format.dimensions,Alt ID.url,Alt ID.OPAC,Description.abstract,Bucketeer State,IIIF Access URL
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz00089bwz,,2,Completed,Collection,,,,,still image,copyrighted,Y,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Under copyright; used by permission,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.|~|All Saints' Day--Mexico--Oaxaca de Juárez|~|Folk dancing--Mexico--Oaxaca",Andrew West,Andrew West,,,,"University of California, Los Angeles. $b Library Special Collections","West, Andrew, 1954-",Collection 1713,,1982 or 1985,"West (Andrew) Photographs of the Guelaguetza, 1982-1985",,,http://www.oac.cdlib.org/findaid/ark:/13030/kt709nc1pk,4872190,"Andrew West (1954- ) has worked as a photographer's assistant and as an annual report photographer. His photography of Guatemalan costumes appears in the exhibition catalog, Threads of identity, published by the Fowler Museum at UCLA (1992). The collection is composed of photographic materials including color slides, color prints, and a CD-R disk containing color images from La Guelaguetza and Saints Day Celebration festivals held in Oaxaca, Mexico in 1982 and 1985. Also included is documentation about the materials and Andrew West.",,
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nhvb,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nhvb-1-master.tif,1,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_89,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], dancers close-up of couple with striped clothe over heads, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nhvb
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nhwv,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nhwv-1-master.tif,2,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_65,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nhwv
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nhxc,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nhxc-1-master.tif,3,,,still image,,,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_79,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nhxc
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nhzw,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nhzw-1-master.tif,4,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_57,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], man holding gourd, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nhzw
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj0w,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj0w-1-master.tif,5,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_60,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj0w
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj1d,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj1d-1-master.tif,6,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_97,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], necklaces, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj1d
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj2x,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj2x-1-master.tif,7,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_82,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], earring close-up disk and square [view 2], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj2x
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj3f,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj3f-1-master.tif,8,,,still image,copyrighted,Y,,,color slides,,,,,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_69,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], performers sitting with spectators [view from behind], 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj3f
West (Andrew) Photographs of the Guelaguetza.  Collection 1713,ark:/21198/zz0008nj4z,ark:/21198/zz00089bwz,2,Completed,Work,guelaguetza/masters/21198-zz0008nj4z-1-master.tif,9,,,still image,copyrighted,Y,,,color slides,,,"Guelaguetza Festival, Oaxaca de Juárez, Mexico.",,,,"Andrew West Photographs of the Guelaguetza. Department of Special Collections, Charles E. Young Research Library, UCLA.","West, Andrew, 1954-","University of California, Los Angeles. $b Library Special Collections",,clus_1713_b1_f29_58,1 slide in plastic mount,1982 or 1985,"Guelaguetza[?], man holding gourd, 1982 or 1985",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008nj4z
