Project Name,Item ARK,Parent ARK,Item Status ID,Visibility,Object Type,File Name,Item Sequence,Subject,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.repository,Name.photographer,Relation.isPartOf,Finding Aid URL,Description.note,Date.creation,Description.longitude,Description.latitude,Title,Date.normalized,Format.dimensions,AltIdentifier.local,Description.abstract,Coverage.geographic,Bucketeer State,IIIF Access URL
Thelner and Louise Photographic Collection,ark:/21198/zz00000bv3,,2,,Collection,,,"University of California, Los Angeles--History--Pictorial works.",photographs,still image,copyrighted,UCLA University Archives,,,http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,,1927-1970,,,Thelner and Louise Hoover Photographic Collection,1927/1970,unknown,Univ. Archives Rec. Ser. 647,"The images in the collection range from the State Normal School in 1925 through 1982. Thelner documented the history of UCLA beginning with the Vermont Avenue Campus in 1927; the Westwood campus groundbreaking ceremony in 1927; photographs of book illustrations of the Italian buildings which inspired the architecture of Royce Hall and the Powell Library building; the construction of Royce Hall, the Powell Library building and Kinsey Hall (the Physics building); the UCLA Band in 1928; models of the earliest buildings, Chemistry, Haines, Moore and others; and the moving days to the Westwood campus. There are only portions or strips of his film ""The Bruin Review"" identified in the collection. Highlights of the collection include the photographs of Royce Hall and the Powell Library Building construction. There are 1929 glass negatives of the Powell Library Building, UCLA's 1st registration; and two autochromes, one of Haines Hall and the other of Louise Brown. Thelner began a series of aerial photographs of the UCLA campus and surrounding area of Westwood in 1929. He photographed the campus from the air again in January and April 1930, in 1936 (from the Goodyear Blimp), 1938 and 1952. The collection contains photographs of the dedication of his aerial mural which was hung in the UCLA Ackerman Student Union Westwood Room in 1962 and was moved to the University Religious Conference Building. Thelner recorded the dedication of UCLA on March 26, 1930. The collection contains over sixty negatives and prints of this ceremony, with portraits of President Campbell, Sproul, Moore, Barrett, Hedricks, Dickson, Dodd, John Dewey, Case, Gimble and others. It also contains photographs of the Mira Hershey Hall dedication, commencement, the Bookstore and Coop, football practice, the first snowfall on campus in 1932, the Clark Library fourth Annual celebration in 1948. Other events in the collection include John Wooden's last game, the Class of 1930's 30th and 40th reunion, and the 1982 Alumni Association Awards. There are various sports photographs of basketball, track and tennis, and photographs of the Sigma Alpha Epsilon (SAE) fraternity presenting UCLA Football coach Tommy Prothero with the Distinguished Alumnus Award. Thelner photographed Dwight Eisenhower, Charles Young, Ralph Freud, Kenneth McGowan, Arthur Ashe, Robert B. Campbell, Edwin Pauley, Franklin Murphy and many others as yet unidentified.",California--Los Angeles,,
Thelner and Louise Photographic Collection,ark:/21198/zz0000005x,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000107_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,"San Stefano, Bologna, from the West",n.d.,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000005x
Thelner and Louise Photographic Collection,ark:/21198/zz0000006f,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000108_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,Bologna:  Interior of St. Sepolcro (in St. Stefano),n.d.,5 x 4 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000006f
Thelner and Louise Photographic Collection,ark:/21198/zz0000007z,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000109_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,Milan:  The Atrium of St. Ambrose,n.d.,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000007z
Thelner and Louise Photographic Collection,ark:/21198/zz0000008g,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000110_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,"Porch and doorway, Church of San Zenove, Verona",n.d.,5 x 4 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000008g
Thelner and Louise Photographic Collection,ark:/21198/zz00000090,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000111_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,"Panorama of St. Ambrogio Basilica, Milan",n.d.,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00000090
Thelner and Louise Photographic Collection,ark:/21198/zz000000bh,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000112_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photograph of a photograph.,,,,"Church of St. Ambrogio, Milan",n.d.,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000bh
Thelner and Louise Photographic Collection,ark:/21198/zz000000c1,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000114_10a.tif,,UCLA architecture - Historical sources|~|Landmarks|~|International|~|Religion,photographs,still image,copyrighted,UCLA University Archives,,Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,Photographed from a book.,,,,Rear of the Church of San Sepolcro from the Court of Pilate,n.d.,4 x 5 in. ,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000c1
Thelner and Louise Photographic Collection,ark:/21198/zz000000dj,ark:/21198/zz00000bv3,3,Private,Work,hoover/masters/ua00000115_10a.tif,,"University of California, Los Angeles--Royce Hall|~|Construction images|~|Haines Hall|~|Business|~|Education|~|Environment",photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"[This is a duplicate image; the other scan is of better quality, so I recommend we delete this one-KM]","April 29, 1928",-118.44204783439636,34.07223093863892,"Royce Hall (left) and Haines Hall (right) under construction, 1928",1928-04-29,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000dj
Thelner and Louise Photographic Collection,ark:/21198/zz000000f2,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000060_10a.tif,,Construction images|~|Haines Hall|~|Business|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"Looking northeast from the octagonal dome of the Library (Powell Library), Royce Hall and the Chemistry Building (Haines Hall) appear here near the end of their construction. The south wing of the Chemistry Building would not be added until 1933.","April 29, 1928",-118.4420907497406,34.072253156230445,"Royce Hall and Chemistry Building (Haines Hall) under construction, 1928",1928-04-29,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000f2
Thelner and Louise Photographic Collection,ark:/21198/zz000000gk,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000116_10a.tif,,UCLA bridge|~|Construction images|~|Transportation|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,"The arroyo bridge was the first structure completed on the new campus. The arroyo was filled in 1947 creating Dickson Court (North and South). The Bridge, now buried up to its neck, remains today as Dickson Court Bridge.","May 14, 1927",-118.44083547592163,34.07210652001871,"Bridge at Westwood campus under construction, 1927",1927-05-14,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000gk
Thelner and Louise Photographic Collection,ark:/21198/zz000000h3,ark:/21198/zz00000bv3,2,,Work,hoover/masters/ua00000117_10a.tif,,Kinsey Hall|~|Haines Hall|~|Science|~|Education|~|Environment,photographs,still image,copyrighted,UCLA University Archives,"Hoover, Thelner Barton (UCLA 1930)",Thelner and Louise Hoover Photographic Collection (Univ. Archives Rec. Ser. 647),http://www.oac.cdlib.org/findaid/ark:/13030/tf438nb2mz,In view is the main lecture hall entrance of the Chemistry Building (Haines Hall). The Physics-Biology in the background was subsequently known as Kinsey Hall before its current designation as the Humanities Building.,c.1930,-118.44139337539673,34.07288857688162,"Chemistry Building (Haines Hall) with Physics Biology Building (Humanities Building) in background, c.1930",1930,4 x 5 in.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000000h3
