Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,Item Sequence,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,issue,viewingHint,Subject topic,IIIF Manifest URL
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 1",ark:/21198/z10z92cq,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17zv1,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No1,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 1,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z92cq/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 2",ark:/21198/z1w68jwb,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9tsb,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No2,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 2,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w68jwb/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 3",ark:/21198/z1rj6hjw,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq303k,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No3,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 3,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj6hjw/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 7",ark:/21198/z1ms5rw2,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34twm,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No7,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 7,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ms5rw2/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 8",ark:/21198/z1h1513j,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6psg,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No8,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 8,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h1513j/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 12",ark:/21198/z1c848bc,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9v2b,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No12,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 12,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c848bc/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 13",ark:/21198/z17h3hmn,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51pzn,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No13,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 13,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3hmn/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 14",ark:/21198/z13r2rxc,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7236,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No14,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 14,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2rxc/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 15",ark:/21198/z1002176,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13r5,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No15,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 15,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1002176/manifest
Work,"Mighty Man: The Human Law Enforcing Dynamo, no. 16",ark:/21198/z1vb0757,ark:/21198/z14q9t15|~|ark:/21198/z1zk7d59,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6q2g,,,1975-1978,1975/1978,,,,,36 pages,,comic books,eng,acmi_worger_mightymancomic_No16,,,,Pretoria (South Africa),Afri-Comics (Pty) Ltd.,William Worger Personal Collection,text,,,,"Soweto, South Africa",,no. 16,paged,"Apartheid -- South Africa -- Comic books, strips, etc. -- Periodicals|~|Superheroes -- South Africa -- Comic books, strips, etc. -- Periodicals|~|South Africa -- Race relations -- Comic books, strips, etc. -- Periodicals",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb0757/manifest
