"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","local ID","Creator","Date.created","Date.created (single)","Language | code","TypeOfResource","Genre","Extent","Dimensions","Abstract","Note.content","Institution/Repository","Subject.place","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_001.tif","Page","Page 1","1","ark:/21198/z1rf7q5s","ark:/21198/z14x742n","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x742n",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_002.tif","Page","Page 2","2","ark:/21198/z1rf7q5s","ark:/21198/z11852rj","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11852rj",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_003.tif","Page","Page 3","3","ark:/21198/z1rf7q5s","ark:/21198/z1wh4k9q","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4k9q",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_004.tif","Page","Page 4","4","ark:/21198/z1rf7q5s","ark:/21198/z1rr3tgn","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3tgn",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_005.tif","Page","Page 5","5","ark:/21198/z1rf7q5s","ark:/21198/z1n032q5","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n032q5",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_006.tif","Page","Page 6","6","ark:/21198/z1rf7q5s","ark:/21198/z1h72b0v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h72b0v",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_007.tif","Page","Page 7","7","ark:/21198/z1rf7q5s","ark:/21198/z1cg1kb1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1kb1",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_008.tif","Page","Page 8","8","ark:/21198/z1rf7q5s","ark:/21198/z17q0tqn","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0tqn",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_009.tif","Page","Page 9","9","ark:/21198/z1rf7q5s","ark:/21198/z1418s92","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418s92",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_010.tif","Page","Page 10","10","ark:/21198/z1rf7q5s","ark:/21198/z10881kq","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10881kq",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_011.tif","Page","Page 11","11","ark:/21198/z1rf7q5s","ark:/21198/z1vh7j3f","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7j3f",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_012.tif","Page","Page 12","12","ark:/21198/z1rf7q5s","ark:/21198/z1qr6s9t","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6s9t",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_013.tif","Page","Page 13","13","ark:/21198/z1rf7q5s","ark:/21198/z1m061m7","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m061m7",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_014.tif","Page","Page 14","14","ark:/21198/z1rf7q5s","ark:/21198/z1g758zd","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g758zd",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_015.tif","Page","Page 15","15","ark:/21198/z1rf7q5s","ark:/21198/z1bg4j90","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4j90",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_Mar1941_016.tif","Page","Page 16","16","ark:/21198/z1rf7q5s","ark:/21198/z16t2gxp","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2gxp",""
