Object Type,Title,Local identifier,Item Sequence,Item ARK,Parent ARK,File Name,Thumbnail,AltTitle.other,collection.physical,Contents note,Date.normalized,Summary,Format.dimensions,Format.medium,Format.extent,Genre,Language,Name.creator,Name.subject,Description.note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject,Subject topic,IIIF Manifest URL
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_01,,ark:/21198/z1224vj7,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h6j8d,,,,1998,"This embroidery celebrates the late Nelson Mandela’s life and leadership in a free and democratic South Africa. The name of Bernlhee Daniels, Miss South Africa, 1995, appears on the cloth, as does the name of South Africa’s former first lady, Mrs. Graça Machel Mandela, who married Mandela in 1998. Pretoria’s twin-towered Union Buildings—the official seat of South Africa’s government and the site of Mandela’s inauguration as president—also appear in the background.",88.8 x 126.9 cm,cotton thread on cotton,1 embroidery; 3 pages,embroidery,eng,"Ringane, Elisa Phazimane",,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1224vj7/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_02,,ark:/21198/z1x94c1w,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74j71,,,,2003,"This embroidery, which was created to honor the eighty-fifth birthday of Nelson Mandela, conveys the deep affection and respect felt by many South Africans for their former president and leader of the anti-apartheid struggle. Madiba and Tata—both terms of endearment—are the two names most commonly used by South Africans for Mandela. Madiba was Mandela’s clan name and tata means “father” in Xhosa, Mandela’s mother tongue.",127 x 88.9 cm,cotton thread on cotton,1 embroidery; 3 pages,embroidery,eng,"Maepa, Rosina Ngwakwane","Mandela, Nelson, 1918-2013",Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x94c1w/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_03,,ark:/21198/z1sj3mc2,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f210g8,,,,2001,,139.7 x 86.36 cm,cotton thread on cotton,1 embroidery; 2 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,"South Africa--History--Soweto Uprising, 1976",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj3mc2/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_04,,ark:/21198/z1ns2vrp,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9h3k,,,,2000,"This embroidery draws inspiration from educational materials for the prevention of hiv/aids, which include slogans, pamphlets, posters, and billboards. The embroidery also speaks to everyday concerns among women in a country where as many as one in four live with HIV.",116.84 x 86.63 cm,cotton thread on cotton,1 embroidery; 4 pages,embroidery,eng,"Maseko, Jane",,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,AIDS (Disease)--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns2vrp/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_05,,ark:/21198/z1j40tbn,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6rg8,,,,2000,,114.3 x 101.6 cm,cotton thread on cotton,1 embroidery; 4 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,AIDS (Disease)--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40tbn/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_06,,ark:/21198/z1dc02qn,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2fzb,,,,2000,,95.25 x 87.63 cm,cotton thread on cotton,1 embroidery; 3 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,Accidents--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dc02qn/manifest
Work,"Wall hanging, Mapula Embroidery Project, Winterveldt, Gauteng, South Africa",sa_embroidery_2011-08_07,,ark:/21198/z18k99xg,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb95ck,,,,2000,,114.3 x 83.82 cm,cotton thread on cotton,1 embroidery; 4 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Gauteng, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Mapula Embroidery Project,Malaria--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18k99xg/manifest
Work,"Embroidered panels, Kaross Workers, Tzaneen, South Africa",sa_embroidery_2011-08_08,,ark:/21198/z14t8k65,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17965h7,,,,2000,"This embroidery is part of a larger group that was commissioned to be distributed at “Breaking the Silence,” the 12th International aids Conference held in Durban in 2000. Each participant in the project was given a small panel on which she portrayed the effects of aids on her community.",,,1 embroidery; 2 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Tzaneen, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Kaross Workers,AIDS (Disease)--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14t8k65/manifest
Work,"Embroidered panels, Kaross Workers, Tzaneen, South Africa",sa_embroidery_2011-08_09,,ark:/21198/z1127tdv,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4xbp,,,,2000,"This embroidery is part of a larger group that was commissioned to be distributed at “Breaking the Silence,” the 12th International aids Conference held in Durban in 2000. Each participant in the project was given a small panel on which she portrayed the effects of aids on her community.",,,1 embroidery; 2 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Tzaneen, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Kaross Workers,AIDS (Disease)--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1127tdv/manifest
Work,"Embroidered panels, Kaross Workers, Tzaneen, South Africa",sa_embroidery_2011-08_10,,ark:/21198/z1w97b0v,ark:/21198/z19k6c28|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc249n,,,,2000,"This embroidery is part of a larger group that was commissioned to be distributed at “Breaking the Silence,” the 12th International aids Conference held in Durban in 2000. Each participant in the project was given a small panel on which she portrayed the effects of aids on her community.",23.5 x 38.1 cm,cotton thread on cotton,1 embroidery; 2 pages,embroidery,eng,,,Archived Exhibit Web Page: https://web.archive.org/web/20161129050353/http://www.fowler.ucla.edu/exhibitions/bearing-witness-embroidery-history-post-apartheid-south-africa/,"Tzaneen, South Africa",,William H. Worger and Nancy L. Clark Personal Collection,still image,unknown,worger@history.ucla.edu,,South Africa,,individuals,Kaross Workers,AIDS (Disease)--South Africa,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w97b0v/manifest
