File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_001.tif,Page,Page 1,1,ark:/21198/z1qc2qvv,ark:/21198/z1hq6mk4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6mk4
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_002.tif,Page,Page 2,2,ark:/21198/z1qc2qvv,ark:/21198/z1cz5vvd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5vvd
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_003.tif,Page,Page 3,3,ark:/21198/z1qc2qvv,ark:/21198/z186543b,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186543b
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_004.tif,Page,Page 4,4,ark:/21198/z1qc2qvv,ark:/21198/z14f4c9q,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4c9q
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_005.tif,Page,Page 5,5,ark:/21198/z1qc2qvv,ark:/21198/z10p3mmf,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3mmf
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_006.tif,Page,Page 6,6,ark:/21198/z1qc2qvv,ark:/21198/z1vx346f,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx346f
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_007.tif,Page,Page 7,7,ark:/21198/z1qc2qvv,ark:/21198/z1r812vw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r812vw
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_008.tif,Page,Page 8,8,ark:/21198/z1qc2qvv,ark:/21198/z1mh0b51,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0b51
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_009.tif,Page,Page 9,9,ark:/21198/z1qc2qvv,ark:/21198/z1gq9kg6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9kg6
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_010.tif,Page,Page 10,10,ark:/21198/z1qc2qvv,ark:/21198/z1bz8tq1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8tq1
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_011.tif,Page,Page 11,11,ark:/21198/z1qc2qvv,ark:/21198/z17682zj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17682zj
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_012.tif,Page,Page 12,12,ark:/21198/z1qc2qvv,ark:/21198/z13f7b8p,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7b8p
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_013.tif,Page,Page 13,13,ark:/21198/z1qc2qvv,ark:/21198/z1zp6ts0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6ts0
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_014.tif,Page,Page 14,14,ark:/21198/z1qc2qvv,ark:/21198/z1v14sdd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14sdd
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_015.tif,Page,Page 15,15,ark:/21198/z1qc2qvv,ark:/21198/z1q841rz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q841rz
Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_194610_016.tif,Page,Page 16,16,ark:/21198/z1qc2qvv,ark:/21198/z1kh3906,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3906
