"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_001.tif","Page","Page 1","1","ark:/21198/z13z0v35","ark:/21198/z1128f60","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128f60",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_002.tif","Page","Page 2","2","ark:/21198/z13z0v35","ark:/21198/z1w97xq9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97xq9",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_003.tif","Page","Page 3","3","ark:/21198/z13z0v35","ark:/21198/z1rj761t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj761t",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_004.tif","Page","Page 4","4","ark:/21198/z13z0v35","ark:/21198/z1ms6fbj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6fbj",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_005.tif","Page","Page 5","5","ark:/21198/z13z0v35","ark:/21198/z1h15pkp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15pkp",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_006.tif","Page","Page 6","6","ark:/21198/z13z0v35","ark:/21198/z1c84xwd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84xwd",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_007.tif","Page","Page 7","7","ark:/21198/z13z0v35","ark:/21198/z17m2whh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2whh",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_008.tif","Page","Page 8","8","ark:/21198/z13z0v35","ark:/21198/z13v24rq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v24rq",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_009.tif","Page","Page 9","9","ark:/21198/z13z0v35","ark:/21198/z1031d1q","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031d1q",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_010.tif","Page","Page 10","10","ark:/21198/z13z0v35","ark:/21198/z1vb0wmx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0wmx",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_011.tif","Page","Page 11","11","ark:/21198/z13z0v35","ark:/21198/z1qk04tp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk04tp",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19330209_012.tif","Page","Page 12","12","ark:/21198/z13z0v35","ark:/21198/z1ks9d48","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9d48",""
