"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_001.tif","Page","Page 1","1","ark:/21198/z19w32w8","ark:/21198/z1fn3tph","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn3tph",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_002.tif","Page","Page 2","2","ark:/21198/z19w32w8","ark:/21198/z19w331g","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w331g",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_003.tif","Page","Page 3","3","ark:/21198/z19w32w8","ark:/21198/z1642b75","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642b75",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_004.tif","Page","Page 4","4","ark:/21198/z19w32w8","ark:/21198/z12c1kjw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1kjw",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_005.tif","Page","Page 5","5","ark:/21198/z19w32w8","ark:/21198/z1xm1303","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm1303",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_006.tif","Page","Page 6","6","ark:/21198/z19w32w8","ark:/21198/z1sv0b8c","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0b8c",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_007.tif","Page","Page 7","7","ark:/21198/z19w32w8","ark:/21198/z1p588zq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p588zq",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_008.tif","Page","Page 8","8","ark:/21198/z19w32w8","ark:/21198/z1jd7j8v","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7j8v",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_009.tif","Page","Page 9","9","ark:/21198/z19w32w8","ark:/21198/z1dn6sj4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6sj4",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_010.tif","Page","Page 10","10","ark:/21198/z19w32w8","ark:/21198/z18w61ts","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w61ts",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_011.tif","Page","Page 11","11","ark:/21198/z19w32w8","ark:/21198/z154592b","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz154592b",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19270812_012.tif","Page","Page 12","12","ark:/21198/z19w32w8","ark:/21198/z11c4j95","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4j95",""
