"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_001.tif","Page","Page 1","1","ark:/21198/z1rf8gdd","ark:/21198/z16h74sj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h74sj",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_002.tif","Page","Page 2","2","ark:/21198/z1rf8gdd","ark:/21198/z12r6d3p","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6d3p",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_003.tif","Page","Page 3","3","ark:/21198/z1rf8gdd","ark:/21198/z1z05wkv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05wkv",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_004.tif","Page","Page 4","4","ark:/21198/z1rf8gdd","ark:/21198/z1t754vh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t754vh",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_005.tif","Page","Page 5","5","ark:/21198/z1rf8gdd","ark:/21198/z1pg4d29","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg4d29",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_006.tif","Page","Page 6","6","ark:/21198/z1rf8gdd","ark:/21198/z1jq3nc1","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq3nc1",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_007.tif","Page","Page 7","7","ark:/21198/z1rf8gdd","ark:/21198/z1dz2wrn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2wrn",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_008.tif","Page","Page 8","8","ark:/21198/z1rf8gdd","ark:/21198/z1990vdh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990vdh",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_009.tif","Page","Page 9","9","ark:/21198/z1rf8gdd","ark:/21198/z15j03p5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15j03p5",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_010.tif","Page","Page 10","10","ark:/21198/z1rf8gdd","ark:/21198/z11r9bzw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r9bzw",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_011.tif","Page","Page 11","11","ark:/21198/z1rf8gdd","ark:/21198/z1x08vfg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x08vfg",""
"Masters/othermasters/DEPaccionsocialista/images/ihc_accionsocialista_19241006_012.tif","Page","Page 12","12","ark:/21198/z1rf8gdd","ark:/21198/z1s783pp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s783pp",""
