"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_017.tif","Page","Page 17","17","ark:/21198/z1xw6nk0","ark:/21198/z1d52xqp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52xqp"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_018.tif","Page","Page 18","18","ark:/21198/z1xw6nk0","ark:/21198/z18d2616","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2616"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_019.tif","Page","Page 19","19","ark:/21198/z1xw6nk0","ark:/21198/z14n1fcc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1fcc"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_020.tif","Page","Page 20","20","ark:/21198/z1xw6nk0","ark:/21198/z10w0pm6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w0pm6"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_021.tif","Page","Page 21","21","ark:/21198/z1xw6nk0","ark:/21198/z1w40652","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40652"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_022.tif","Page","Page 22","22","ark:/21198/z1xw6nk0","ark:/21198/z1rf84v3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf84v3"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260613_023.tif","Page","Page 23","23","ark:/21198/z1xw6nk0","ark:/21198/z1mp7d2w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7d2w"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_001.tif","Page","Page 1","1","ark:/21198/z1t45ww1","ark:/21198/z1gx6n9q","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx6n9q"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_002.tif","Page","Page 2","2","ark:/21198/z1t45ww1","ark:/21198/z1c55wmr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c55wmr"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_003.tif","Page","Page 3","3","ark:/21198/z1t45ww1","ark:/21198/z17d54z9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d54z9"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_004.tif","Page","Page 4","4","ark:/21198/z1t45ww1","ark:/21198/z13n4d70","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n4d70"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_005.tif","Page","Page 5","5","ark:/21198/z1t45ww1","ark:/21198/z1zw3wr9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3wr9"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_006.tif","Page","Page 6","6","ark:/21198/z1t45ww1","ark:/21198/z1v71vfm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71vfm"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_007.tif","Page","Page 7","7","ark:/21198/z1t45ww1","ark:/21198/z1qg13q8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg13q8"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_008.tif","Page","Page 8","8","ark:/21198/z1t45ww1","ark:/21198/z1kq0bxn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0bxn"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_009.tif","Page","Page 9","9","ark:/21198/z1t45ww1","ark:/21198/z1fx9m8p","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx9m8p"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_010.tif","Page","Page 10","10","ark:/21198/z1t45ww1","ark:/21198/z1b58vj8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b58vj8"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_011.tif","Page","Page 11","11","ark:/21198/z1t45ww1","ark:/21198/z16d83vc","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d83vc"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_012.tif","Page","Page 12","12","ark:/21198/z1t45ww1","ark:/21198/z12r62hx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r62hx"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_013.tif","Page","Page 13","13","ark:/21198/z1t45ww1","ark:/21198/z1z05k0h","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05k0h"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_014.tif","Page","Page 14","14","ark:/21198/z1t45ww1","ark:/21198/z1t74t8s","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74t8s"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_015.tif","Page","Page 15","15","ark:/21198/z1t45ww1","ark:/21198/z1pg42h0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg42h0"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_016.tif","Page","Page 16","16","ark:/21198/z1t45ww1","ark:/21198/z1jq39tq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq39tq"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_017.tif","Page","Page 17","17","ark:/21198/z1t45ww1","ark:/21198/z1dz2k59","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2k59"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_018.tif","Page","Page 18","18","ark:/21198/z1t45ww1","ark:/21198/z1961tdf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961tdf"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260620_019.tif","Page","Page 19","19","ark:/21198/z1t45ww1","ark:/21198/z15h9s2f","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9s2f"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_001.tif","Page","Page 1","1","ark:/21198/z1pc556j","ark:/21198/z11r91cj","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r91cj"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_002.tif","Page","Page 2","2","ark:/21198/z1pc556j","ark:/21198/z1x08hvq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x08hvq"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_003.tif","Page","Page 3","3","ark:/21198/z1pc556j","ark:/21198/z1s77s3z","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77s3z"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_004.tif","Page","Page 4","4","ark:/21198/z1pc556j","ark:/21198/z1ng71fh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng71fh"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_005.tif","Page","Page 5","5","ark:/21198/z1pc556j","ark:/21198/z1hq68r7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq68r7"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_006.tif","Page","Page 6","6","ark:/21198/z1pc556j","ark:/21198/z1cz5j1x","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5j1x"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_007.tif","Page","Page 7","7","ark:/21198/z1pc556j","ark:/21198/z1893gqt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893gqt"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_008.tif","Page","Page 8","8","ark:/21198/z1pc556j","ark:/21198/z14j2qzn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2qzn"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_009.tif","Page","Page 9","9","ark:/21198/z1pc556j","ark:/21198/z10s2068","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2068"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_010.tif","Page","Page 10","10","ark:/21198/z1pc556j","ark:/21198/z1w11gpf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11gpf"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_011.tif","Page","Page 11","11","ark:/21198/z1pc556j","ark:/21198/z1r80r11","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80r11"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_012.tif","Page","Page 12","12","ark:/21198/z1pc556j","ark:/21198/z1mh009p","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh009p"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_013.tif","Page","Page 13","13","ark:/21198/z1pc556j","ark:/21198/z1gq97mv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq97mv"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_014.tif","Page","Page 14","14","ark:/21198/z1pc556j","ark:/21198/z1c27695","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27695"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_015.tif","Page","Page 15","15","ark:/21198/z1pc556j","ark:/21198/z1796fj0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796fj0"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_016.tif","Page","Page 16","16","ark:/21198/z1pc556j","ark:/21198/z13j5pst","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5pst"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_017.tif","Page","Page 17","17","ark:/21198/z1pc556j","ark:/21198/z1zs569x","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs569x"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260627_018.tif","Page","Page 18","18","ark:/21198/z1pc556j","ark:/21198/z1v14fmz","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14fmz"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_001.tif","Page","Page 1","1","ark:/21198/z1jm4dgt","ark:/21198/z1q83pxp","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83pxp"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_002.tif","Page","Page 2","2","ark:/21198/z1jm4dgt","ark:/21198/z1kh2z5x","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2z5x"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_003.tif","Page","Page 3","3","ark:/21198/z1jm4dgt","ark:/21198/z1fv0wvh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0wvh"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_004.tif","Page","Page 4","4","ark:/21198/z1jm4dgt","ark:/21198/z1b3054w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b3054w"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_005.tif","Page","Page 5","5","ark:/21198/z1jm4dgt","ark:/21198/z1699dbq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699dbq"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_006.tif","Page","Page 6","6","ark:/21198/z1jm4dgt","ark:/21198/z12j8nm0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j8nm0"
