File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_067.tif,Page,Page 67,67,ark:/21198/z17967jh,ark:/21198/z1tq8hzc
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_068.tif,Page,Page 68,68,ark:/21198/z17967jh,ark:/21198/z1q26gm7
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_069.tif,Page,Page 69,69,ark:/21198/z17967jh,ark:/21198/z1k95qzd
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_070.tif,Page,Page 70,70,ark:/21198/z17967jh,ark:/21198/z1fj507g
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_071.tif,Page,Page 71,71,ark:/21198/z17967jh,ark:/21198/z19s47fv
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_072.tif,Page,Page 72,72,ark:/21198/z17967jh,ark:/21198/z1613gqf
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_073.tif,Page,Page 73,73,ark:/21198/z17967jh,ark:/21198/z1282qxt
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_074.tif,Page,Page 74,74,ark:/21198/z17967jh,ark:/21198/z1xh27j8
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_075.tif,Page,Page 75,75,ark:/21198/z17967jh,ark:/21198/z1sv065c
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381218_076.tif,Page,Page 76,76,ark:/21198/z17967jh,ark:/21198/z1p29fjr
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_001.tif,Page,Page 1,1,ark:/21198/z13j5gsb,ark:/21198/z1j98pt1
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_002.tif,Page,Page 2,2,ark:/21198/z13j5gsb,ark:/21198/z1dj7z28
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_003.tif,Page,Page 3,3,ark:/21198/z13j5gsb,ark:/21198/z18s7681
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_004.tif,Page,Page 4,4,ark:/21198/z13j5gsb,ark:/21198/z1516fjm
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_005.tif,Page,Page 5,5,ark:/21198/z13j5gsb,ark:/21198/z1185pws
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_006.tif,Page,Page 6,6,ark:/21198/z13j5gsb,ark:/21198/z1wm3wsc
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_007.tif,Page,Page 7,7,ark:/21198/z13j5gsb,ark:/21198/z1rv355s
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_008.tif,Page,Page 8,8,ark:/21198/z13j5gsb,ark:/21198/z1n32dcg
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_009.tif,Page,Page 9,9,ark:/21198/z13j5gsb,ark:/21198/z1hb1nnr
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_010.tif,Page,Page 10,10,ark:/21198/z13j5gsb,ark:/21198/z1ck0wv4
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_011.tif,Page,Page 11,11,ark:/21198/z13j5gsb,ark:/21198/z17t053r
Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1938/ihc_bohemia_19381225_012.tif,Page,Page 12,12,ark:/21198/z13j5gsb,ark:/21198/z1419dg4
