"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_001.tif","Page","Page 1","1","ark:/21198/z1vq554n","ark:/21198/z1vq556j","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq556j"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_002.tif","Page","Page 2","2","ark:/21198/z1vq554n","ark:/21198/z1qz4dh8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz4dh8"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_003.tif","Page","Page 3","3","ark:/21198/z1vq554n","ark:/21198/z1m63nvr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63nvr"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_004.tif","Page","Page 4","4","ark:/21198/z1vq554n","ark:/21198/z1gf2x2j","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2x2j"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_005.tif","Page","Page 5","5","ark:/21198/z1vq554n","ark:/21198/z1bp259r","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp259r"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_006.tif","Page","Page 6","6","ark:/21198/z1vq554n","ark:/21198/z16x1dk1","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1dk1"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_007.tif","Page","Page 7","7","ark:/21198/z1vq554n","ark:/21198/z1379c6w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379c6w"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_008.tif","Page","Page 8","8","ark:/21198/z1vq554n","ark:/21198/z1zg8vrn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8vrn"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_009.tif","Page","Page 9","9","ark:/21198/z1vq554n","ark:/21198/z1tq843m","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq843m"
"Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_010.tif","Page","Page 10","10","ark:/21198/z1vq554n","ark:/21198/z1pz7ccw","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7ccw"
