Object Type,File Name,Title,Item Sequence,Parent ARK,Item ARK,local ID,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.contents,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_001.tif,Page 1,1,ark:/21198/z1q83cd7,ark:/21198/z1ff5sfn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5sfn
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_002.tif,Page 2,2,ark:/21198/z1q83cd7,ark:/21198/z19p51pv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p51pv
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_003.tif,Page 3,3,ark:/21198/z1q83cd7,ark:/21198/z15x491f,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x491f
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_004.tif,Page 4,4,ark:/21198/z1q83cd7,ark:/21198/z12827nf,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12827nf
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_005.tif,Page 5,5,ark:/21198/z1q83cd7,ark:/21198/z1xh1r8h,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1r8h
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_006.tif,Page 6,6,ark:/21198/z1q83cd7,ark:/21198/z1sr10j5,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr10j5
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_007.tif,Page 7,7,ark:/21198/z1q83cd7,ark:/21198/z1p007rv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p007rv
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_008.tif,Page 8,8,ark:/21198/z1q83cd7,ark:/21198/z1j69gzp,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69gzp
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_009.tif,Page 9,9,ark:/21198/z1q83cd7,ark:/21198/z1df8r7c,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8r7c
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_courtcase_v021_010.tif,Page 10,10,ark:/21198/z1q83cd7,ark:/21198/z18p80mc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p80mc
