Object Type,File Name,Title,Item Sequence,Parent ARK,Item ARK,local ID,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.contents,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_001.tif,Page 1,1,ark:/21198/z1rv2n1d,ark:/21198/z1ks8r8t,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8r8t
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_002.tif,Page 2,2,ark:/21198/z1rv2n1d,ark:/21198/z1g180hb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g180hb
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_003.tif,Page 3,3,ark:/21198/z1rv2n1d,ark:/21198/z1bc5z7d,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5z7d
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_004.tif,Page 4,4,ark:/21198/z1rv2n1d,ark:/21198/z16m56h2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m56h2
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_005.tif,Page 5,5,ark:/21198/z1rv2n1d,ark:/21198/z12v4fts,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4fts
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_006.tif,Page 6,6,ark:/21198/z1rv2n1d,ark:/21198/z1z33zdq,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33zdq
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_007.tif,Page 7,7,ark:/21198/z1rv2n1d,ark:/21198/z1tb36nx,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb36nx
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_008.tif,Page 8,8,ark:/21198/z1rv2n1d,ark:/21198/z1pk2fwr,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk2fwr
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_009.tif,Page 9,9,ark:/21198/z1rv2n1d,ark:/21198/z1jx0dm6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx0dm6
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_010.tif,Page 10,10,ark:/21198/z1rv2n1d,ark:/21198/z1f49nvs,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49nvs
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_011.tif,Page 11,11,ark:/21198/z1rv2n1d,ark:/21198/z19c8x4g,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8x4g
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_012.tif,Page 12,12,ark:/21198/z1rv2n1d,ark:/21198/z15m85fk,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m85fk
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_013.tif,Page 13,13,ark:/21198/z1rv2n1d,ark:/21198/z11v7dqv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v7dqv
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_014.tif,Page 14,14,ark:/21198/z1rv2n1d,ark:/21198/z1x36x7w,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36x7w
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_015.tif,Page 15,15,ark:/21198/z1rv2n1d,ark:/21198/z1sb65g3,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb65g3
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_016.tif,Page 16,16,ark:/21198/z1rv2n1d,ark:/21198/z1np444n,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np444n
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v013_017.tif,Page 17,17,ark:/21198/z1rv2n1d,ark:/21198/z1hx3ccg,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx3ccg
