Object Type,File Name,Title,Item Sequence,Parent ARK,Item ARK,local ID,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.contents,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_001.tif,Page 1,1,ark:/21198/z1t1743b,ark:/21198/z1m065rp,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m065rp
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_002.tif,Page 2,2,ark:/21198/z1t1743b,ark:/21198/z1g75f38,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g75f38
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_003.tif,Page 3,3,ark:/21198/z1t1743b,ark:/21198/z1bg4pd0,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4pd0
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_004.tif,Page 4,4,ark:/21198/z1t1743b,ark:/21198/z16q3xmc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3xmc
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_005.tif,Page 5,5,ark:/21198/z1t1743b,ark:/21198/z12z35vk,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z35vk
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_006.tif,Page 6,6,ark:/21198/z1t1743b,ark:/21198/z1z62pb5,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62pb5
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_007.tif,Page 7,7,ark:/21198/z1t1743b,ark:/21198/z1tf1xpb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1xpb
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_008.tif,Page 8,8,ark:/21198/z1t1743b,ark:/21198/z1pr9w8f,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9w8f
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_009.tif,Page 9,9,ark:/21198/z1t1743b,ark:/21198/z1k094nr,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k094nr
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_010.tif,Page 10,10,ark:/21198/z1t1743b,ark:/21198/z1f78cx1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78cx1
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_011.tif,Page 11,11,ark:/21198/z1t1743b,ark:/21198/z19g7n58,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7n58
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_012.tif,Page 12,12,ark:/21198/z1t1743b,ark:/21198/z15q6wcn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6wcn
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_013.tif,Page 13,13,ark:/21198/z1t1743b,ark:/21198/z11z64pr,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z64pr
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_014.tif,Page 14,14,ark:/21198/z1t1743b,ark:/21198/z1x65n8p,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65n8p
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_015.tif,Page 15,15,ark:/21198/z1t1743b,ark:/21198/z1sj3kwc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3kwc
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_016.tif,Page 16,16,ark:/21198/z1t1743b,ark:/21198/z1ns2v8d,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2v8d
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_017.tif,Page 17,17,ark:/21198/z1t1743b,ark:/21198/z1j123jc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j123jc
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_018.tif,Page 18,18,ark:/21198/z1t1743b,ark:/21198/z1d81brr,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81brr
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_019.tif,Page 19,19,ark:/21198/z1t1743b,ark:/21198/z18h0m00,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0m00
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_020.tif,Page 20,20,ark:/21198/z1t1743b,ark:/21198/z14q9v78,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9v78
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_021.tif,Page 21,21,ark:/21198/z1t1743b,ark:/21198/z10z93m8,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z93m8
Page,Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_exhibits_v001_022.tif,Page 22,22,ark:/21198/z1t1743b,ark:/21198/z1w979h5,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w979h5
