"Object Type","File Name","Title","Item Sequence","Parent ARK","Item ARK","local ID","Publisher","Publisher.place","Date.issued (single)","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Abstract","Note.contents","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_001.tif","Page 1","1","ark:/21198/z1544mwf","ark:/21198/z1hq5zns","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5zns",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_002.tif","Page 2","2","ark:/21198/z1544mwf","ark:/21198/z1cz56w0","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz56w0",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_003.tif","Page 3","3","ark:/21198/z1544mwf","ark:/21198/z1864g33","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864g33",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_004.tif","Page 4","4","ark:/21198/z1544mwf","ark:/21198/z14f3qcc","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3qcc",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_005.tif","Page 5","5","ark:/21198/z1544mwf","ark:/21198/z10s1p2c","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1p2c",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_006.tif","Page 6","6","ark:/21198/z1544mwf","ark:/21198/z1w115kc","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w115kc",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_007.tif","Page 7","7","ark:/21198/z1544mwf","ark:/21198/z1r80dxj","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80dxj",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_008.tif","Page 8","8","ark:/21198/z1544mwf","ark:/21198/z1mg9p6p","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9p6p",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_009.tif","Page 9","9","ark:/21198/z1544mwf","ark:/21198/z1gq8xfh","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8xfh",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_010.tif","Page 10","10","ark:/21198/z1544mwf","ark:/21198/z1bz85pq","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz85pq",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_011.tif","Page 11","11","ark:/21198/z1544mwf","ark:/21198/z1767f05","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767f05",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_012.tif","Page 12","12","ark:/21198/z1544mwf","ark:/21198/z13j5ckd","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5ckd",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_013.tif","Page 13","13","ark:/21198/z1544mwf","ark:/21198/z1zs4w51","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4w51",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_014.tif","Page 14","14","ark:/21198/z1544mwf","ark:/21198/z1v144gf","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v144gf",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_015.tif","Page 15","15","ark:/21198/z1544mwf","ark:/21198/z1q83cs5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83cs5",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_016.tif","Page 16","16","ark:/21198/z1544mwf","ark:/21198/z1kh2n0z","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2n0z",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_017.tif","Page 17","17","ark:/21198/z1544mwf","ark:/21198/z1fr1w87","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1w87",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_018.tif","Page 18","18","ark:/21198/z1544mwf","ark:/21198/z1b014j6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b014j6",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_019.tif","Page 19","19","ark:/21198/z1544mwf","ark:/21198/z1699366","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699366",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_020.tif","Page 20","20","ark:/21198/z1544mwf","ark:/21198/z12j8bhx","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j8bhx",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_021.tif","Page 21","21","ark:/21198/z1544mwf","ark:/21198/z1xs7v3j","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7v3j",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_022.tif","Page 22","22","ark:/21198/z1544mwf","ark:/21198/z1t173ch","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t173ch",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_023.tif","Page 23","23","ark:/21198/z1544mwf","ark:/21198/z1p86bkw","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86bkw",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_024.tif","Page 24","24","ark:/21198/z1544mwf","ark:/21198/z1jh5ktq","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5ktq",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_025.tif","Page 25","25","ark:/21198/z1544mwf","ark:/21198/z1dv3jj5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3jj5",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_026.tif","Page 26","26","ark:/21198/z1544mwf","ark:/21198/z1932str","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932str",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_027.tif","Page 27","27","ark:/21198/z1544mwf","ark:/21198/z15b225q","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b225q",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_028.tif","Page 28","28","ark:/21198/z1544mwf","ark:/21198/z11k19hw","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k19hw",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_029.tif","Page 29","29","ark:/21198/z1544mwf","ark:/21198/z1wt0sz9","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0sz9",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_030.tif","Page 30","30","ark:/21198/z1544mwf","ark:/21198/z1s20267","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20267",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_031.tif","Page 31","31","ark:/21198/z1544mwf","ark:/21198/z1n899fh","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n899fh",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_032.tif","Page 32","32","ark:/21198/z1544mwf","ark:/21198/z1hm7832","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7832",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_033.tif","Page 33","33","ark:/21198/z1544mwf","ark:/21198/z1cv6hcb","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6hcb",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_034.tif","Page 34","34","ark:/21198/z1544mwf","ark:/21198/z1835rqt","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835rqt",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_035.tif","Page 35","35","ark:/21198/z1544mwf","ark:/21198/z14b511b","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b511b",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_036.tif","Page 36","36","ark:/21198/z1544mwf","ark:/21198/z10k489m","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k489m",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_037.tif","Page 37","37","ark:/21198/z1544mwf","ark:/21198/z1vt3rr1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3rr1",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_038.tif","Page 38","38","ark:/21198/z1544mwf","ark:/21198/z1r2311d","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r2311d",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_039.tif","Page 39","39","ark:/21198/z1544mwf","ark:/21198/z1md0zp5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0zp5",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_040.tif","Page 40","40","ark:/21198/z1544mwf","ark:/21198/z1gn06zt","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn06zt",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_041.tif","Page 41","41","ark:/21198/z1544mwf","ark:/21198/z1bv9g9v","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9g9v",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_042.tif","Page 42","42","ark:/21198/z1544mwf","ark:/21198/z1738qmw","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738qmw",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_043.tif","Page 43","43","ark:/21198/z1544mwf","ark:/21198/z13b7zvq","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7zvq",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_044.tif","Page 44","44","ark:/21198/z1544mwf","ark:/21198/z1zk7gbc","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7gbc",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_045.tif","Page 45","45","ark:/21198/z1544mwf","ark:/21198/z1tt6qk6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6qk6",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_046.tif","Page 46","46","ark:/21198/z1544mwf","ark:/21198/z1q54p9z","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54p9z",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_047.tif","Page 47","47","ark:/21198/z1544mwf","ark:/21198/z1kd3xk7","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3xk7",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_048.tif","Page 48","48","ark:/21198/z1544mwf","ark:/21198/z1fn35wb","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn35wb",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_049.tif","Page 49","49","ark:/21198/z1544mwf","ark:/21198/z19w2f7x","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2f7x",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_050.tif","Page 50","50","ark:/21198/z1544mwf","ark:/21198/z1641pfm","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641pfm",""
"Page","Masters/othermasters/DEPsouthafrica/sharpeville/batch2/images/b7617662_commission_v010_051.tif","Page 51","51","ark:/21198/z1544mwf","ark:/21198/z12c0xpf","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0xpf",""
