File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,volume/year,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.content,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_001.tif,Page,Page 1,1,ark:/21198/z1vd907b,ark:/21198/z11r8rhn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8rhn
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_002.tif,Page,Page 2,2,ark:/21198/z1vd907b,ark:/21198/z1x36zgf,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36zgf
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_003.tif,Page,Page 3,3,ark:/21198/z1vd907b,ark:/21198/z1sb66qn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb66qn
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_004.tif,Page,Page 4,4,ark:/21198/z1vd907b,ark:/21198/z1nk5fzg,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5fzg
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_005.tif,Page,Page 5,5,ark:/21198/z1vd907b,ark:/21198/z1ht4q8m,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4q8m
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_006.tif,Page,Page 6,6,ark:/21198/z1vd907b,ark:/21198/z1d23zkn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23zkn
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_007.tif,Page,Page 7,7,ark:/21198/z1vd907b,ark:/21198/z18936wr,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18936wr
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_008.tif,Page,Page 8,8,ark:/21198/z1vd907b,ark:/21198/z14n15j9,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n15j9
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_009.tif,Page,Page 9,9,ark:/21198/z1vd907b,ark:/21198/z10w0ds4,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w0ds4
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_010.tif,Page,Page 10,10,ark:/21198/z1vd907b,ark:/21198/z1w39xb2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39xb2
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_011.tif,Page,Page 11,11,ark:/21198/z1vd907b,ark:/21198/z1rb95jt,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb95jt
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_012.tif,Page,Page 12,12,ark:/21198/z1vd907b,ark:/21198/z1mk8dvj,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8dvj
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_013.tif,Page,Page 13,13,ark:/21198/z1vd907b,ark:/21198/z1gt7p5p,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7p5p
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_014.tif,Page,Page 14,14,ark:/21198/z1vd907b,ark:/21198/z1c26xgq,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26xgq
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_015.tif,Page,Page 15,15,ark:/21198/z1vd907b,ark:/21198/z17d4w48,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4w48
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_016.tif,Page,Page 16,16,ark:/21198/z1vd907b,ark:/21198/z13n44dx,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n44dx
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_017.tif,Page,Page 17,17,ark:/21198/z1vd907b,ark:/21198/z1zw3mws,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3mws
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_018.tif,Page,Page 18,18,ark:/21198/z1vd907b,ark:/21198/z1v42w4b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42w4b
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_019.tif,Page,Page 19,19,ark:/21198/z1vd907b,ark:/21198/z1qc24ff,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc24ff
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_020.tif,Page,Page 20,20,ark:/21198/z1vd907b,ark:/21198/z1km1csm,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1csm
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_021.tif,Page,Page 21,21,ark:/21198/z1vd907b,ark:/21198/z1fv0n1v,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0n1v
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_022.tif,Page,Page 22,22,ark:/21198/z1vd907b,ark:/21198/z1b58kq6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b58kq6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_023.tif,Page,Page 23,23,ark:/21198/z1vd907b,ark:/21198/z16d7v1b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7v1b
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_024.tif,Page,Page 24,24,ark:/21198/z1vd907b,ark:/21198/z12n7373,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7373
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_025.tif,Page,Page 25,25,ark:/21198/z1vd907b,ark:/21198/z1xw6kqz,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6kqz
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_026.tif,Page,Page 26,26,ark:/21198/z1vd907b,ark:/21198/z1t45v1d,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45v1d
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_027.tif,Page,Page 27,27,ark:/21198/z1vd907b,ark:/21198/z1pc53bh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc53bh
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_028.tif,Page,Page 28,28,ark:/21198/z1vd907b,ark:/21198/z1jm4bn7,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm4bn7
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_029.tif,Page,Page 29,29,ark:/21198/z1vd907b,ark:/21198/z1dz29b7,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz29b7
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_030.tif,Page,Page 30,30,ark:/21198/z1vd907b,ark:/21198/z1961jkc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961jkc
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_031.tif,Page,Page 31,31,ark:/21198/z1vd907b,ark:/21198/z15f0st6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0st6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_032.tif,Page,Page 32,32,ark:/21198/z1vd907b,ark:/21198/z11p022t,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p022t
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_033.tif,Page,Page 33,33,ark:/21198/z1vd907b,ark:/21198/z1ww9jng,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9jng
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_034.tif,Page,Page 34,34,ark:/21198/z1vd907b,ark:/21198/z1s48szh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48szh
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_035.tif,Page,Page 35,35,ark:/21198/z1vd907b,ark:/21198/z1nc827k,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc827k
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_036.tif,Page,Page 36,36,ark:/21198/z1vd907b,ark:/21198/z1hq60x5,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq60x5
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_037.tif,Page,Page 37,37,ark:/21198/z1vd907b,ark:/21198/z1cz586v,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz586v
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_038.tif,Page,Page 38,38,ark:/21198/z1vd907b,ark:/21198/z1864hdj,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864hdj
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_039.tif,Page,Page 39,39,ark:/21198/z1vd907b,ark:/21198/z14f3rnc,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3rnc
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_040.tif,Page,Page 40,40,ark:/21198/z1vd907b,ark:/21198/z10p30zg,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p30zg
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_041.tif,Page,Page 41,41,ark:/21198/z1vd907b,ark:/21198/z1vx2hhn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2hhn
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_042.tif,Page,Page 42,42,ark:/21198/z1vd907b,ark:/21198/z1r51rrs,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51rrs
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_043.tif,Page,Page 43,43,ark:/21198/z1vd907b,ark:/21198/z1mg9qgp,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9qgp
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_044.tif,Page,Page 44,44,ark:/21198/z1vd907b,ark:/21198/z1gq8zrz,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8zrz
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_045.tif,Page,Page 45,45,ark:/21198/z1vd907b,ark:/21198/z1bz86zq,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz86zq
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_046.tif,Page,Page 46,46,ark:/21198/z1vd907b,ark:/21198/z1767g7q,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767g7q
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_047.tif,Page,Page 47,47,ark:/21198/z1vd907b,ark:/21198/z13f6qkw,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6qkw
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_048.tif,Page,Page 48,48,ark:/21198/z1vd907b,ark:/21198/z1zp672j,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp672j
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_049.tif,Page,Page 49,49,ark:/21198/z1vd907b,ark:/21198/z1tx5gc8,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5gc8
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_050.tif,Page,Page 50,50,ark:/21198/z1vd907b,ark:/21198/z1q83f31,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83f31
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_051.tif,Page,Page 51,51,ark:/21198/z1vd907b,ark:/21198/z1kh2pbv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2pbv
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_052.tif,Page,Page 52,52,ark:/21198/z1vd907b,ark:/21198/z1fr1xkp,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1xkp
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_053.tif,Page,Page 53,53,ark:/21198/z1vd907b,ark:/21198/z1b015t6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b015t6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_054.tif,Page,Page 54,54,ark:/21198/z1vd907b,ark:/21198/z1670f5s,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670f5s
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_055.tif,Page,Page 55,55,ark:/21198/z1vd907b,ark:/21198/z12f9pfh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9pfh
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_056.tif,Page,Page 56,56,ark:/21198/z1vd907b,ark:/21198/z1xp95z6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp95z6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_057.tif,Page,Page 57,57,ark:/21198/z1vd907b,ark:/21198/z1t174nh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t174nh
