"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","volume/year","Publisher","Publisher.place","Date.issued (single)","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Abstract","Note.content","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_001.tif","Page","Page 1","1","ark:/21198/z1m0667c","ark:/21198/z1m066c5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m066c5",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_002.tif","Page","Page 2","2","ark:/21198/z1m0667c","ark:/21198/z1g75fpw","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g75fpw",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_003.tif","Page","Page 3","3","ark:/21198/z1m0667c","ark:/21198/z1bg4q1g","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4q1g",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_004.tif","Page","Page 4","4","ark:/21198/z1m0667c","ark:/21198/z16t2nn5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2nn5",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_005.tif","Page","Page 5","5","ark:/21198/z1m0667c","ark:/21198/z1321wxr","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321wxr",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_006.tif","Page","Page 6","6","ark:/21198/z1m0667c","ark:/21198/z1z91dfv","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z91dfv",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_007.tif","Page","Page 7","7","ark:/21198/z1m0667c","ark:/21198/z1tj0nn7","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0nn7",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_008.tif","Page","Page 8","8","ark:/21198/z1m0667c","ark:/21198/z1pr9wxz","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9wxz",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_009.tif","Page","Page 9","9","ark:/21198/z1m0667c","ark:/21198/z1k09587","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09587",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_010.tif","Page","Page 10","10","ark:/21198/z1m0667c","ark:/21198/z1f78dkz","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78dkz",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_011.tif","Page","Page 11","11","ark:/21198/z1m0667c","ark:/21198/z19k6c62","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6c62",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_012.tif","Page","Page 12","12","ark:/21198/z1m0667c","ark:/21198/z15t5mhs","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5mhs",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_013.tif","Page","Page 13","13","ark:/21198/z1m0667c","ark:/21198/z1224vrx","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224vrx",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_014.tif","Page","Page 14","14","ark:/21198/z1m0667c","ark:/21198/z1x94c7k","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94c7k",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_015.tif","Page","Page 15","15","ark:/21198/z1m0667c","ark:/21198/z1sj3mj9","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3mj9",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_016.tif","Page","Page 16","16","ark:/21198/z1m0667c","ark:/21198/z1ns2vwg","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2vwg",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_017.tif","Page","Page 17","17","ark:/21198/z1m0667c","ark:/21198/z1j12469","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12469",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_018.tif","Page","Page 18","18","ark:/21198/z1m0667c","ark:/21198/z1dc02vf","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc02vf",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_019.tif","Page","Page 19","19","ark:/21198/z1m0667c","ark:/21198/z18k9b34","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9b34",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_020.tif","Page","Page 20","20","ark:/21198/z1m0667c","ark:/21198/z14t8kcd","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8kcd",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_021.tif","Page","Page 21","21","ark:/21198/z1m0667c","ark:/21198/z1127tk3","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127tk3",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_022.tif","Page","Page 22","22","ark:/21198/z1m0667c","ark:/21198/z1w97b4n","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97b4n",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_023.tif","Page","Page 23","23","ark:/21198/z1m0667c","ark:/21198/z1rj6kfc","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6kfc",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_024.tif","Page","Page 24","24","ark:/21198/z1m0667c","ark:/21198/z1ms5tsj","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5tsj",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_025.tif","Page","Page 25","25","ark:/21198/z1m0667c","ark:/21198/z1h43sgv","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43sgv",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_026.tif","Page","Page 26","26","ark:/21198/z1m0667c","ark:/21198/z1cc31rh","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc31rh",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_027.tif","Page","Page 27","27","ark:/21198/z1m0667c","ark:/21198/z17m28xf","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m28xf",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_028.tif","Page","Page 28","28","ark:/21198/z1m0667c","ark:/21198/z13v1j5p","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1j5p",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_029.tif","Page","Page 29","29","ark:/21198/z1m0667c","ark:/21198/z1030sgq","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030sgq",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_030.tif","Page","Page 30","30","ark:/21198/z1m0667c","ark:/21198/z1vb092q","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb092q",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_031.tif","Page","Page 31","31","ark:/21198/z1m0667c","ark:/21198/z1qj9j90","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9j90",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_032.tif","Page","Page 32","32","ark:/21198/z1m0667c","ark:/21198/z1kw7h1f","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7h1f",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_033.tif","Page","Page 33","33","ark:/21198/z1m0667c","ark:/21198/z1g46rbg","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46rbg",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_034.tif","Page","Page 34","34","ark:/21198/z1m0667c","ark:/21198/z1bc60hs","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc60hs",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_035.tif","Page","Page 35","35","ark:/21198/z1m0667c","ark:/21198/z16m57rm","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m57rm",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_036.tif","Page","Page 36","36","ark:/21198/z1m0667c","ark:/21198/z12v4h2r","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4h2r",""
"Masters/othermasters/DEPzanzibar/images/Vol_15/uclalsc_3682798_vol15_037.tif","Page","Page 37","37","ark:/21198/z1m0667c","ark:/21198/z1z340nn","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z340nn",""
