"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1tj086v","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_001.tif","1","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj086v",""
"Iranian National Baha'i Archives","ark:/21198/z1pr9hgk","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_002.tif","2","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9hgk",""
"Iranian National Baha'i Archives","ark:/21198/z1k08rt2","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_003.tif","3","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k08rt2",""
"Iranian National Baha'i Archives","ark:/21198/z1f7814k","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_004.tif","4","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f7814k",""
"Iranian National Baha'i Archives","ark:/21198/z19k5zsb","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_005.tif","5","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k5zsb",""
"Iranian National Baha'i Archives","ark:/21198/z15t573v","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_006.tif","6","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t573v",""
"Iranian National Baha'i Archives","ark:/21198/z1224g9j","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_007.tif","7","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224g9j",""
"Iranian National Baha'i Archives","ark:/21198/z1x93ztv","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_008.tif","8","","","","","","Page 8","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x93ztv",""
"Iranian National Baha'i Archives","ark:/21198/z1sj374c","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_009.tif","9","","","","","","Page 9","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj374c",""
"Iranian National Baha'i Archives","ark:/21198/z1ns2ggj","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_010.tif","10","","","","","","Page 10","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2ggj",""
