"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z19g78f9","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_001.tif","1","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78f9",""
"Iranian National Baha'i Archives","ark:/21198/z15q6hnp","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_002.tif","2","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6hnp",""
"Iranian National Baha'i Archives","ark:/21198/z11z5s08","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_003.tif","3","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5s08",""
"Iranian National Baha'i Archives","ark:/21198/z1x658k5","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_004.tif","4","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x658k5",""
"Iranian National Baha'i Archives","ark:/21198/z1sj3768","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_005.tif","5","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3768",""
"Iranian National Baha'i Archives","ark:/21198/z1ns2gkw","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_006.tif","6","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2gkw",""
"Iranian National Baha'i Archives","ark:/21198/z1j11qvg","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_007.tif","7","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j11qvg",""
"Iranian National Baha'i Archives","ark:/21198/z1d81016","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_008.tif","8","","","","","","Page 8","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81016",""
"Iranian National Baha'i Archives","ark:/21198/z18h0781","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_009.tif","9","","","","","","Page 9","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0781",""
"Iranian National Baha'i Archives","ark:/21198/z14q9gk6","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_010.tif","10","","","","","","Page 10","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9gk6",""
