"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z11k0zrh","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_001.tif","1","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0zrh",""
"Iranian National Baha'i Archives","ark:/21198/z1wt0g6q","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_002.tif","2","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0g6q",""
"Iranian National Baha'i Archives","ark:/21198/z1s19qdv","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_003.tif","3","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s19qdv",""
"Iranian National Baha'i Archives","ark:/21198/z1n88zp4","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_004.tif","4","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88zp4",""
"Iranian National Baha'i Archives","ark:/21198/z1hm6xbp","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_005.tif","5","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6xbp",""
"Iranian National Baha'i Archives","ark:/21198/z1cv65ns","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_006.tif","6","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv65ns",""
"Iranian National Baha'i Archives","ark:/21198/z1835dzt","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_007.tif","7","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835dzt",""
"Iranian National Baha'i Archives","ark:/21198/z14b4p8z","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_008.tif","8","","","","","","Page 8","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4p8z",""
"Iranian National Baha'i Archives","ark:/21198/z10k3xj7","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_009.tif","9","","","","","","Page 9","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3xj7",""
"Iranian National Baha'i Archives","ark:/21198/z1vt3f1w","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_010.tif","10","","","","","","Page 10","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3f1w",""
"Iranian National Baha'i Archives","ark:/21198/z1r22p9g","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_011.tif","11","","","","","","Page 11","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22p9g",""
"Iranian National Baha'i Archives","ark:/21198/z1md0mx5","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_012.tif","12","","","","","","Page 12","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0mx5",""
"Iranian National Baha'i Archives","ark:/21198/z1gm9w69","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_013.tif","13","","","","","","Page 13","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gm9w69",""
"Iranian National Baha'i Archives","ark:/21198/z1bv94jv","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_014.tif","14","","","","","","Page 14","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv94jv",""
"Iranian National Baha'i Archives","ark:/21198/z1738cvw","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_015.tif","15","","","","","","Page 15","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738cvw",""
"Iranian National Baha'i Archives","ark:/21198/z13b7n2p","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_016.tif","16","","","","","","Page 16","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7n2p",""
"Iranian National Baha'i Archives","ark:/21198/z1zk74kc","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_017.tif","17","","","","","","Page 17","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk74kc",""
"Iranian National Baha'i Archives","ark:/21198/z1tt6cvn","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_018.tif","18","","","","","","Page 18","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6cvn",""
"Iranian National Baha'i Archives","ark:/21198/z1q54bhh","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_019.tif","19","","","","","","Page 19","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54bhh",""
"Iranian National Baha'i Archives","ark:/21198/z1kd3kt7","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_020.tif","20","","","","","","Page 20","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3kt7",""
"Iranian National Baha'i Archives","ark:/21198/z1fn2v4c","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_021.tif","21","","","","","","Page 21","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn2v4c",""
"Iranian National Baha'i Archives","ark:/21198/z19w23gx","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_022.tif","22","","","","","","Page 22","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w23gx",""
"Iranian National Baha'i Archives","ark:/21198/z1641bpm","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_023.tif","23","","","","","","Page 23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641bpm",""
"Iranian National Baha'i Archives","ark:/21198/z12c0kzw","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_024.tif","24","","","","","","Page 24","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0kzw",""
"Iranian National Baha'i Archives","ark:/21198/z1xp8swc","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_025.tif","25","","","","","","Page 25","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8swc",""
"Iranian National Baha'i Archives","ark:/21198/z1sx8240","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_026.tif","26","","","","","","Page 26","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8240",""
"Iranian National Baha'i Archives","ark:/21198/z1p579f1","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_027.tif","27","","","","","","Page 27","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p579f1",""
"Iranian National Baha'i Archives","ark:/21198/z1jd6jrr","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_028.tif","28","","","","","","Page 28","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6jrr",""
"Iranian National Baha'i Archives","ark:/21198/z1dn5t1f","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_029.tif","29","","","","","","Page 29","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5t1f",""
"Iranian National Baha'i Archives","ark:/21198/z18w528n","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_030.tif","30","","","","","","Page 30","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w528n",""
"Iranian National Baha'i Archives","ark:/21198/z15449hs","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_031.tif","31","","","","","","Page 31","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15449hs",""
"Iranian National Baha'i Archives","ark:/21198/z11g285b","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_032.tif","32","","","","","","Page 32","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g285b",""
"Iranian National Baha'i Archives","ark:/21198/z1wq1rpn","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_033.tif","33","","","","","","Page 33","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1rpn",""
"Iranian National Baha'i Archives","ark:/21198/z1rz1105","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_034.tif","34","","","","","","Page 34","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1105",""
"Iranian National Baha'i Archives","ark:/21198/z1n608bn","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_035.tif","35","","","","","","Page 35","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n608bn",""
"Iranian National Baha'i Archives","ark:/21198/z1hd9hnt","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_036.tif","36","","","","","","Page 36","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9hnt",""
"Iranian National Baha'i Archives","ark:/21198/z1cn8rv6","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_037.tif","37","","","","","","Page 37","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8rv6",""
"Iranian National Baha'i Archives","ark:/21198/z17w813t","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_038.tif","38","","","","","","Page 38","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w813t",""
"Iranian National Baha'i Archives","ark:/21198/z1475zts","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_039.tif","39","","","","","","Page 39","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475zts",""
"Iranian National Baha'i Archives","ark:/21198/z10g572d","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_040.tif","40","","","","","","Page 40","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g572d",""
"Iranian National Baha'i Archives","ark:/21198/z1vq4qkq","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_041.tif","41","","","","","","Page 41","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4qkq",""
"Iranian National Baha'i Archives","ark:/21198/z1qz3zwf","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_042.tif","42","","","","","","Page 42","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3zwf",""
"Iranian National Baha'i Archives","ark:/21198/z1m6377q","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_043.tif","43","","","","","","Page 43","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m6377q",""
"Iranian National Baha'i Archives","ark:/21198/z1gf2gdn","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_044.tif","44","","","","","","Page 44","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2gdn",""
"Iranian National Baha'i Archives","ark:/21198/z1bp1qpx","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_045.tif","45","","","","","","Page 45","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1qpx",""
"Iranian National Baha'i Archives","ark:/21198/z1709pcp","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_046.tif","46","","","","","","Page 46","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709pcp",""
"Iranian National Baha'i Archives","ark:/21198/z1378xnz","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_047.tif","47","","","","","","Page 47","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378xnz",""
"Iranian National Baha'i Archives","ark:/21198/z1zg8f52","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_048.tif","48","","","","","","Page 48","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8f52",""
"Iranian National Baha'i Archives","ark:/21198/z1tq7ph7","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_049.tif","49","","","","","","Page 49","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7ph7",""
"Iranian National Baha'i Archives","ark:/21198/z1pz6xsh","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_050.tif","50","","","","","","Page 50","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz6xsh",""
"Iranian National Baha'i Archives","ark:/21198/z1k6661f","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_051.tif","51","","","","","","Page 51","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k6661f",""
"Iranian National Baha'i Archives","ark:/21198/z1ff5f88","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_052.tif","52","","","","","","Page 52","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5f88",""
"Iranian National Baha'i Archives","ark:/21198/z19s3czv","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_053.tif","53","","","","","","Page 53","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3czv",""
"Iranian National Baha'i Archives","ark:/21198/z1612n7v","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_054.tif","54","","","","","","Page 54","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612n7v",""
"Iranian National Baha'i Archives","ark:/21198/z1281wh4","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_055.tif","55","","","","","","Page 55","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281wh4",""
"Iranian National Baha'i Archives","ark:/21198/z1xh1d34","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_056.tif","56","","","","","","Page 56","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1d34",""
"Iranian National Baha'i Archives","ark:/21198/z1sr0ncd","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_057.tif","57","","","","","","Page 57","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0ncd",""
"Iranian National Baha'i Archives","ark:/21198/z1nz9wjs","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_058.tif","58","","","","","","Page 58","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9wjs",""
"Iranian National Baha'i Archives","ark:/21198/z1j694tr","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_059.tif","59","","","","","","Page 59","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j694tr",""
"Iranian National Baha'i Archives","ark:/21198/z1dj73j6","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_060.tif","60","","","","","","Page 60","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj73j6",""
"Iranian National Baha'i Archives","ark:/21198/z18s6btg","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_061.tif","61","","","","","","Page 61","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6btg",""
"Iranian National Baha'i Archives","ark:/21198/z1515m4x","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_062.tif","62","","","","","","Page 62","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515m4x",""
"Iranian National Baha'i Archives","ark:/21198/z1184vfn","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_063.tif","63","","","","","","Page 63","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184vfn",""
"Iranian National Baha'i Archives","ark:/21198/z1wh4bzb","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_064.tif","64","","","","","","Page 64","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4bzb",""
"Iranian National Baha'i Archives","ark:/21198/z1rr3m4p","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_065.tif","65","","","","","","Page 65","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3m4p",""
"Iranian National Baha'i Archives","ark:/21198/z1n02vd8","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_066.tif","66","","","","","","Page 66","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02vd8",""
"Iranian National Baha'i Archives","ark:/21198/z1hb0t4q","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_067.tif","67","","","","","","Page 67","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0t4q",""
"Iranian National Baha'i Archives","ark:/21198/z1ck02dc","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_068.tif","68","","","","","","Page 68","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck02dc",""
"Iranian National Baha'i Archives","ark:/21198/z17s99p3","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_069.tif","69","","","","","","Page 69","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s99p3",""
"Iranian National Baha'i Archives","ark:/21198/z1418k10","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_070.tif","70","","","","","","Page 70","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418k10",""
"Iranian National Baha'i Archives","ark:/21198/z1087t8t","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_071.tif","71","","","","","","Page 71","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087t8t",""
"Iranian National Baha'i Archives","ark:/21198/z1vh79sh","ark:/21198/zz002h5z1k","","","Page","inba/image/21198-zz002h5z1k-1-master_072.tif","72","","","","","","Page 72","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh79sh",""
