"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1pp0tpw","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_001.tif","1","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0tpw",""
"Iranian National Baha'i Archives","ark:/21198/z1jx02x3","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_002.tif","2","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx02x3",""
"Iranian National Baha'i Archives","ark:/21198/z1f781kd","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_003.tif","3","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f781kd",""
"Iranian National Baha'i Archives","ark:/21198/z19g78vp","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_004.tif","4","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78vp",""
"Iranian National Baha'i Archives","ark:/21198/z15q6j2g","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_005.tif","5","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6j2g",""
"Iranian National Baha'i Archives","ark:/21198/z11z5sc6","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_006.tif","6","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5sc6",""
"Iranian National Baha'i Archives","ark:/21198/z1x658xn","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_007.tif","7","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x658xn",""
"Iranian National Baha'i Archives","ark:/21198/z1sf4j6b","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_008.tif","8","","","","","","Page 8","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4j6b",""
"Iranian National Baha'i Archives","ark:/21198/z1np3sdq","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_009.tif","9","","","","","","Page 9","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3sdq",""
"Iranian National Baha'i Archives","ark:/21198/z1j11r6c","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_010.tif","10","","","","","","Page 10","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j11r6c",""
