"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1pv87fg","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_001.tif","1","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv87fg",""
"Iranian National Baha'i Archives","ark:/21198/z1k37gq2","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_002.tif","2","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37gq2",""
"Iranian National Baha'i Archives","ark:/21198/z1fb6r2n","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_003.tif","3","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6r2n",""
"Iranian National Baha'i Archives","ark:/21198/z19p4pqs","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_004.tif","4","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4pqs",""
"Iranian National Baha'i Archives","ark:/21198/z15x3z2c","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_005.tif","5","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x3z2c",""
"Iranian National Baha'i Archives","ark:/21198/z12536cs","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_006.tif","6","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12536cs",""
"Iranian National Baha'i Archives","ark:/21198/z1xd2pt6","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_007.tif","7","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2pt6",""
"Iranian National Baha'i Archives","ark:/21198/z1sn1z2f","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_008.tif","8","","","","","","Page 8","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1z2f",""
"Iranian National Baha'i Archives","ark:/21198/z1nw16cj","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_009.tif","9","","","","","","Page 9","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw16cj",""
"Iranian National Baha'i Archives","ark:/21198/z1j6950d","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_010.tif","10","","","","","","Page 10","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j6950d",""
"Iranian National Baha'i Archives","ark:/21198/z1df8d94","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_011.tif","11","","","","","","Page 11","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8d94",""
"Iranian National Baha'i Archives","ark:/21198/z18p7npr","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_012.tif","12","","","","","","Page 12","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7npr",""
"Iranian National Baha'i Archives","ark:/21198/z14x6wz1","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_013.tif","13","","","","","","Page 13","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x6wz1",""
"Iranian National Baha'i Archives","ark:/21198/z115656z","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_014.tif","14","","","","","","Page 14","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz115656z",""
"Iranian National Baha'i Archives","ark:/21198/z1wd5nnc","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_015.tif","15","","","","","","Page 15","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5nnc",""
"Iranian National Baha'i Archives","ark:/21198/z1rn4wz3","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_016.tif","16","","","","","","Page 16","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4wz3",""
"Iranian National Baha'i Archives","ark:/21198/z1n02vkh","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_017.tif","17","","","","","","Page 17","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02vkh",""
"Iranian National Baha'i Archives","ark:/21198/z1h723wm","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_018.tif","18","","","","","","Page 18","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h723wm",""
"Iranian National Baha'i Archives","ark:/21198/z1cg1c76","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_019.tif","19","","","","","","Page 19","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1c76",""
"Iranian National Baha'i Archives","ark:/21198/z17q0mkc","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_020.tif","20","","","","","","Page 20","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0mkc",""
"Iranian National Baha'i Archives","ark:/21198/z13x9vs6","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_021.tif","21","","","","","","Page 21","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9vs6",""
"Iranian National Baha'i Archives","ark:/21198/z1059414","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_022.tif","22","","","","","","Page 22","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059414",""
"Iranian National Baha'i Archives","ark:/21198/z1vd8mjf","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_023.tif","23","","","","","","Page 23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8mjf",""
"Iranian National Baha'i Archives","ark:/21198/z1qr6k7f","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_024.tif","24","","","","","","Page 24","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6k7f",""
"Iranian National Baha'i Archives","ark:/21198/z1m05tkx","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_025.tif","25","","","","","","Page 25","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m05tkx",""
"Iranian National Baha'i Archives","ark:/21198/z1g752w1","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_026.tif","26","","","","","","Page 26","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g752w1",""
"Iranian National Baha'i Archives","ark:/21198/z1bg4b65","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_027.tif","27","","","","","","Page 27","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4b65",""
"Iranian National Baha'i Archives","ark:/21198/z16q3kc3","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_028.tif","28","","","","","","Page 28","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3kc3",""
"Iranian National Baha'i Archives","ark:/21198/z12z2tmx","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_029.tif","29","","","","","","Page 29","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2tmx",""
"Iranian National Baha'i Archives","ark:/21198/z1z62b5s","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_030.tif","30","","","","","","Page 30","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62b5s",""
"Iranian National Baha'i Archives","ark:/21198/z1tj08sg","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_031.tif","31","","","","","","Page 31","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj08sg",""
"Iranian National Baha'i Archives","ark:/21198/z1pr9j32","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_032.tif","32","","","","","","Page 32","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9j32",""
"Iranian National Baha'i Archives","ark:/21198/z1k08sfj","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_033.tif","33","","","","","","Page 33","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k08sfj",""
"Iranian National Baha'i Archives","ark:/21198/z1f781q6","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_034.tif","34","","","","","","Page 34","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f781q6",""
"Iranian National Baha'i Archives","ark:/21198/z19g78z1","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_035.tif","35","","","","","","Page 35","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78z1",""
"Iranian National Baha'i Archives","ark:/21198/z15q6j5t","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_036.tif","36","","","","","","Page 36","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6j5t",""
"Iranian National Baha'i Archives","ark:/21198/z11z5sh0","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_037.tif","37","","","","","","Page 37","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5sh0",""
"Iranian National Baha'i Archives","ark:/21198/z1x940ct","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_038.tif","38","","","","","","Page 38","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x940ct",""
