Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Access URL,IIIF Range,Rights.copyrightStatus,Rights.publicationStatus,Language,Subject.conceptTopic,Type.genre,Title,Date.creation,Date.normalized,AltTitle.uniform,OPAC URL,Description.note,Place of origin,Relation.isPartOf,IIIF Manifest URL
"Obrero Panadero, El",ark:/21198/zz0028tdhq,,2,Completed,Collection,,,,,text,,,,,,pd,published,spa,Bread industry $z Argentina $z Periodicals|~|Bakery employees $x Labor unions $z Argentina $v Periodicals,newspapers,Obrero Panadero (El) : Organo quincenal de la Sociedad Cosmopolita de Resistencia y Colocación de Obreros Panaderos.,"1, no.1 (20 sep 1895); 1, no.11 (14 mar 1895); 1, no.14 (23 may 1895); 1, no.16 (11 ago 1895); 1, no.17 (31 ago 1895); 2, no.2 (20 oct 1895) - no.3 (24 nov 1895); 2, no.4 (14 ene 1896) - 2, no.6 (10 may 1896); 2, no.28 (7 sep 1900) - 2, no.29 (31 oct 1900).",1895/9999,"Obrero panadero, El",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6841245,"""Organo quincenal de la sociedad cosmopolita de resistencia y colocación de obreros panaderos""","Buenos Aires, Argentina.","Latin American Newspapers: Socialist, Anarchist, Communist|~|Collection of Newspapers Published by Latin American Labor Movements (Collection 1425).",https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0028tdhq
"Obrero Panadero, El",ark:/21198/zz0028tdvw,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tdwd,,pd,published,spa,,newspapers,"Año 1, número 1. 20 septiembre 1895",20 septiembre 1895,1895-09-20,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tdvw/manifest
"Obrero Panadero, El",ark:/21198/zz0028th92,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thbk,,pd,published,spa,,newspapers,"Año 2, número 2. 20 octubre 1895",20 octubre 1895,1895-10-20,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028th92/manifest
"Obrero Panadero, El",ark:/21198/zz0028thgn,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thh5,,pd,published,spa,,newspapers,"Año 2, número 3. 24 noviembre 1895",24 noviembre 1895,1895-11-24,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028thgn/manifest
"Obrero Panadero, El",ark:/21198/zz0028thn7,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thpr,,pd,published,spa,,newspapers,"Año 1, número 11. 14 marzo 1895",14 marzo 1895,1895-03-14,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028thn7/manifest
"Obrero Panadero, El",ark:/21198/zz0028thtt,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thvb,,pd,published,spa,,newspapers,"Año , número 14. 23 mayo 1895",23 mayo 1895,1895-05-23,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028thtt/manifest
"Obrero Panadero, El",ark:/21198/zz0028tj0w,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj1d,,pd,published,spa,,newspapers,"Año 1, número 16. 11 agosto 1895",11 agosto 1895,1895-08-11,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tj0w/manifest
"Obrero Panadero, El",ark:/21198/zz0028tj5g,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tj60,,pd,published,spa,,newspapers,"Año 1, número 17. 31 agosto 1895",31 agosto 1895,1895-08-31,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tj5g/manifest
"Obrero Panadero, El",ark:/21198/zz0028tjb2,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjck,,pd,published,spa,,newspapers,"Año 2, número 4. 14 enero 1896",14 enero 1896,1896-01-14,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tjb2/manifest
"Obrero Panadero, El",ark:/21198/zz0028tjhn,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjj5,,pd,published,spa,,newspapers,"Año 2, número 5. 8 marzo 1896",8 marzo 1896,1896-03-08,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tjhn/manifest
"Obrero Panadero, El",ark:/21198/zz0028tjp7,ark:/21198/zz0028tdhq|~|ark:/21198/z1m05mg3,10,Completed with minimal metadata,Work,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tjqr,,pd,published,spa,,newspapers,"Año 2, número 6. 10 mayo 1896",10 mayo 1896,1896-05-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tjp7/manifest
