Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,AltTitle.uniform,Subject,Name.photographer,Name.architect,Name.repository,Name.creator,Relation.isPartOf,Alt ID.local,Date.creation,Format.medium,Format.dimensions,Title,Format.extent,Date.normalized,Description.latitude,Description.longitude,Description.note,Description.caption,Opac url,Coverage.geographic,Description.adminnote,Description.contents,Finding Aid URL,Description.abstract,Bucketeer State,IIIF Access URL
Lee (S. Charles) Papers,ark:/21198/zz00096xsp,,2,Completed,Collection,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Architecture, Modern--20th century--California|~|Architecture--California--20th century|~|Architects--California, Southern--Archival resources",,,"University of California, Los Angeles. $b Library Special Collections","Lee, S. Charles, 1899-1990","S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",Collection 1384,1919-1962,,,"S. Charles Lee Papers, 1919-1962",,1919/1962,,,"S. Charles Lee was born in Chicago on September 5, 1899; graduated, Technical College, Chicago, 1918; senior architect, South Park Board, City of Chicago, 1918; U.S. Navy, 1918-20; graduated, Armour Institute of Technology, Art Institute of Chicago, 1921; moved to Los Angeles, 1921; opened architectural office, Los Angeles, 1922; designed and built Tower Theatre (1927), Fox Wilshire Theatre and Los Angeles Theatre (1929), Max Factor buildings, Hollywood (1931-35), Fox Florence Theatre (1931), Municipal Light, Water and Power Buildings, Los Angeles (1934-35), Bruin Theatre (1937), Tower Bowl, San Diego (1940), and built several theaters in Mexico City (1942); honored by Royal Institute of British Architects at International Exhibit of Contemporary Architects, London, 1934; began partnership with Sam Hayden, 1948; began development of Los Angeles International Airport Industrial District, 1948; established S. Charles Lee Foundation, 1962; named Vice Consul to Beverly Hills! by President of Panama, 1963; established S. Charles Lee Chair, UCLA Graduate School of Architecture and Urban Planning, 1986; died in 1990.",,4233286,,,,http://www.oac.cdlib.org/findaid/ark:/13030/tf3000050c,"Drawings, renderings, blueprints, photographs, and surveys relating to the professional career of architect S. Charles Lee. Most of the collection reflects his work as a developer and the most prolific architect of art deco movie palaces in Los Angeles.",,
Lee (S. Charles) Papers,ark:/21198/zz0009846p,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz0009846p-1-master.tif,1,still image,Architectural drawings,copyrighted,,eng,"Academy Theatre (Inglewood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of207_003|~|2070003,1939,pencil on paper,43 x 87 cm. (17 x 32 in.),"Academy Theatre, Inglewood, detail of lobby doors",1 drawing,1939,33.959813,-118.326798,"The floor plan (2070001) shows how the geometry of overlapping circles shaped the design. The architectural drawing of the façade (2070002) depicts a spool of film unwinding, the inspiration for the spiral form used on the pylon (10102-10103)). Compare the photo of the auditorium (10105) with the floor plan (2070001) and the ceiling plan (2070002).",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009846p
Lee (S. Charles) Papers,ark:/21198/zz000984jv,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984jv-1-master.tif,2,still image,Elevations|~|Architectural drawings,copyrighted,,eng,"Academy Theatre (Inglewood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2070002|~|clus_1384_of207_002,1939,pencil on paper,61 x 107 cm. (24 x 42 in.),"Academy Theatre, Inglewood, elevations",1 drawing,1939,33.959813,-118.326798,"The floor plan (2070001) shows how the geometry of overlapping circles shaped the design. The architectural drawing of the façade (2070002) depicts a spool of film unwinding, the inspiration for the spiral form used on the pylon (10102-10103)). Compare the photo of the auditorium (10105) with the floor plan (2070001) and the ceiling plan (2070002).",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984jv
Lee (S. Charles) Papers,ark:/21198/zz000984kc,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984kc-1-master.tif,3,still image,Floor plans|~|Architectural drawings,copyrighted,,eng,"Academy Theatre (Inglewood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of207_001,1939,pencil on paper,59 x 87 cm. (23 x 34 in.),"Academy Theatre, Inglewood, floor plan",1 drawing,1939,33.959813,-118.326798,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984kc
Lee (S. Charles) Papers,ark:/21198/zz000984mw,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984mw-1-master.tif,4,still image,Architectural drawings,copyrighted,,,"Bruin (Fox) Theatre (Westwood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2150003|~|clus_1384_of215_003,1937,pencil on paper,69 x 84 cm. (27 x 33 in.),"Bruin (Fox) Theatre, Westwood, carpet detail",1 drawing,1937,34.0628024,-118.4470337,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984mw
Lee (S. Charles) Papers,ark:/21198/zz000984nd,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984nd-1-master.tif,5,still image,Floor plans|~|Architectural drawings,copyrighted,,,"Bruin (Fox) Theatre (Westwood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of215_001|~|215001,1937,pencil on paper,54 x 79 cm. (21 x 31 in.),"Bruin (Fox) Theatre, Westwood, first floor plan",1 drawing,1937,34.0628024,-118.4470337,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984nd
Lee (S. Charles) Papers,ark:/21198/zz000984px,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984px-1-master.tif,6,still image,Architectural drawings,copyrighted,,,"Bruin (Fox) Theatre (Westwood, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",2150002|~|clus_1384_of215_002,1937,pencil on paper,54 x 81 cm. (21 x 32 in.),"Bruin (Fox) Theatre, Westwood, interior detail",1 drawing,1937,34.0628024,-118.4470337,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984px
Lee (S. Charles) Papers,ark:/21198/zz000984qf,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984qf-1-master.tif,7,still image,Floor plans|~|Architectural drawings,copyrighted,,,"Chapultepec Theatre (Mexico City, Mexico)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of214_001|~|2140001,1943-44,pencil on paper,81 x 107 cm. (32 x 42 in.),"Chapultepec Theatre, first floor plan",1 drawing,1943/1944,19.4248912,-99.2092814,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984qf
Lee (S. Charles) Papers,ark:/21198/zz000984rz,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984rz-1-master.tif,8,still image,Floor plans|~|Architectural drawings,copyrighted,,,"Chapultepec Theatre (Mexico City, Mexico)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of214_004|~|2140004,[between 1943-1944],pencil on paper,76 x 107 cm. (30 x 42 in.),"Chapultepec Theatre, floor plan sections",1 drawing,1943/1944,19.4248912,-99.2092814,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984rz
Lee (S. Charles) Papers,ark:/21198/zz000984sg,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000984sg-1-master.tif,9,still image,Sections|~|Architectural drawings,copyrighted,,,"Chapultepec Theatre (Mexico City, Mexico)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_of214_002|~|2140002,1943-44,pencil on paper,76 x 107 cm. (30 x 42 in.),"Chapultepec Theatre, longitudinal section, ceiling plan",1 drawing,1943/1944,19.4248912,-99.2092814,,"longitudinal section, ceiling plan",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000984sg
