"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Last Edit Date","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","iiif_access_url","Subject","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Name.subject","Coverage.geographic","Coverage.spatialLatitude","Coverage.spatialLongitude","Name.artist","Name.illustrator","Name.photographer","Name.compiler","Name.repository","Rights.countryCreation","Rights.rightsHolderContact","Name.architect","Name.fashionDesigner","Language","Relation.hasVersion","Rights.permission","Publisher.publisherName","Relation.isPartOf","Description.caption","Description.adminnote","Description.latitude","Format.dimensions","Description.contents","Date.normalized","Description.note","Date.creation","Description.fundingNote","Alternate Identifier.local","Format.extent","Format.medium","Description.abstract","Description.longitude","Title","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hj86f","ark:/21198/zz0002np7z","2","Completed","2020-03-25 13:42:28","Work","latimes/masters/srgb/C1429_b561_230659_contact_sheet.tif","","","","","Marching bands $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","","","","","","1940-1970","Duplicate of 21198/zz002hj86f|~|Views of a marching band on a football field. There are eighteen images on one contact sheet. The images include ten oblique views of the band in a single-line formation, with the drumline on the left; six views of a short female band member holding her large hat and looking up at a tall male trumpet player, standing facing each other in profile, with a building visible in the background; and two images of a female band member in the drumline playing a snare drum. The band uniform consists of a light-colored shirt (satin?) with wide, cuffed sleeves; dark trousers with a light-colored stripe down the side of the leg; and hat with tall, prominent plumes.","[1940s-1960s (?)]","","C1429_b561_230659_contact_sheet","1 photograph","b&w nitrate negative","","","Contact sheet with images of a marching band on a football field, Los Angeles County, 1940s-1960s (?)","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj86f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj86f/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hj7t8","ark:/21198/zz0002np7z","2","Completed","2020-07-27 10:41:51","Work","latimes/masters/srgb/C1429_b508_220329-1_Chill_Wills_Jul_1_1963.tif","","","","","Actors $x American $z California $z Los Angeles|~|Motion picture studios $z California $z Culver City","still image","copyrighted","news photographs|~|black-and-white photographs","Wills, Chill, $d 1902-1978|~|Hal Roach Studios","Culver City (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","","","34.027394","","","1963-07-01","RELICS OF GLORY – Actor Chill Wills sits on flatcar under Our Gang Cafe, holding handful of weeds he pulled from cracked streets of Hal Roach “laugh factory” that now resound to wreckers’ ball. (“Echoes of mirth fade as Roach Studio falls: wrecking crew battering down walls of famed ‘Laugh Factory’ of golden era,” Los Angeles Times, 1 Jul. 1963: A1)","circa July 1, 1963","Access to this collection is generously supported by Haynes Foundation funds.","C1429_b508_220329-1_Chill_Wills_Jul_1_1963","1 photograph","b&w nitrate negative","","-118.387540","Actor Chill Wills at an outdoor set at the Hal Roach Studio, Culver City, 1963","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hj7t8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hj7t8/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjbc0","ark:/21198/zz0002np7z","2","Completed","2020-09-11 13:57:59","Work","latimes/masters/srgb/C1429_b934_f287589_frame25.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Alan Robbins & petitions|~|Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_f287589_frame25","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjbc0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjbc0/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb5w","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:24:54","Work","latimes/masters/srgb/C1429_b934_287589_frame19.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Alan Robbins & petitions","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_287589_frame19","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb5w","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb5w/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb4c","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:27:47","Work","latimes/masters/srgb/C1429_b934_287589_frame18.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Alan Robbins & petitions|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_287589_frame18","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb4c","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb4c/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb8f","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:30:58","Work","latimes/masters/srgb/C1429_b934_f287589_frame22.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for varification [verification].|~|Text from negative sleeve: Alan Robbins & Petitions|~|Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for varification [verification].","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_f287589_frame22","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb8f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb8f/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjbbg","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:33:26","Work","latimes/masters/srgb/C1429_b934_f287589_frame24.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Alan Robbins & petitions|~|Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_f287589_frame24","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjbbg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjbbg/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb6d","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:35:42","Work","latimes/masters/srgb/C1429_b934_287589_frame20.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in car loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Alan Robbins & petitions","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_287589_frame20","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb6d","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb6d/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb9z","ark:/21198/zz0002np7z","2","Completed","2020-09-11 14:38:34","Work","latimes/masters/srgb/C1429_b934_f287589_frame23.tif","","","","","Referendums $z California|~|Busing (School integration) $z California $z Los Angeles County","still image","copyrighted","news photographs|~|black-and-white photographs","Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend","Los Angeles County (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","zxx","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Alan Robbins & petitions|~|Text from negative sleeve: Senator Alan Robbins with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.|~|Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.","","34.040067","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline."" 6 June 1978: C1.","[June 6, 1978]","","C1429_b934_f287589_frame23","1 photograph","b&w negative","","-118.164440","State Senator Alan Robbins and Reverend W. C. Jackson wheeling antibusing initiative petitions into the Los Angeles County Registrar-Recorder's office, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb9z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb9z/manifest"
"Los Angeles Times Photographic Archive","ark:/21198/zz002hjb7x","ark:/21198/zz0002np7z","2","Completed","2020-09-18 13:41:29","Work","latimes/masters/srgb/C1429_b934_287589_frame20A.tif","","","","","Carts & wagons|~|Politicians $z California $z Los Angeles|~|Petitions $x American $z California $z Los Angeles","still image","copyrighted","news photographs|~|black-and-white photographs","California. Legislature. Senate.|~|Robbins, Alan, $d 1943-|~|Jackson, W. C. $q (William C.), $c Reverend|~|Los Angeles County (Calif.). $b Department of Registrar-Recorder","Los Angeles (Calif.)","","","","","","","University of California, Los Angeles. Library. Department of Special Collections","US","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","eng","","Y","Los Angeles Times","Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.","Text from negative sleeve: Rev. W. C. Jackson and Senator Alan Robbins wheel in cart loaded with boxes filled with busing petitions that were brought to the County Registrar-Recorder's office for verification.","","34.040268","","","1978-06-06","Related to Los Angeles Times article, ""Antibusing Initiative Can't Meet Deadline,""  6 Jun. 1978: C1.|~|State Senator Alan Robbins and Reverend W. C. Jackson wheeling petitions into the Los Angeles County Registrar's office.","[circa June 6, 1978]","","C1429_b934_287589_frame20A","1 photograph","","","-118.164274","Senator Alan Robbins and Reverend W. C. Jackson, Los Angeles, 1978","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjb7x","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hjb7x/manifest"
