Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,Relation.pageNumber,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6f0,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6f0-1-master.tif,1,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,21198-zz0009s6f0-1-thumbnail.jpg,21198-zz0009s6f0-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6f0
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6gh,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6gh-1-master.tif,2,,,,,,,,,pd,,,,,2,v,,,,,,,,,,,,,,,,,21198-zz0009s6gh-1-thumbnail.jpg,21198-zz0009s6gh-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6gh
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6h1,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6h1-1-master.tif,3,,,,,,,,,pd,,,,,3,r,,,,,,,,,,,,,,,,,21198-zz0009s6h1-1-thumbnail.jpg,21198-zz0009s6h1-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6h1
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6jj,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6jj-1-master.tif,4,,,,,,,,,pd,,,,,4,v,,,,,,,,,,,,,,,,,21198-zz0009s6jj-1-thumbnail.jpg,21198-zz0009s6jj-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6jj
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6k2,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6k2-1-master.tif,5,,,,,,,,,pd,,,,,5,r,,,,,,,,,,,,,,,,,21198-zz0009s6k2-1-thumbnail.jpg,21198-zz0009s6k2-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6k2
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6s5,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6s5-1-master.tif,6,,,,,,,,,pd,,,,,6,v,,,,,,,,,,,,,,,,,21198-zz0009s6s5-1-thumbnail.jpg,21198-zz0009s6s5-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6s5
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6tp,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6tp-1-master.tif,7,,,,,,,,,pd,,,,,7,r,,,,,,,,,,,,,,,,,21198-zz0009s6tp-1-thumbnail.jpg,21198-zz0009s6tp-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6tp
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6v6,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6v6-1-master.tif,8,,,,,,,,,pd,,,,,8,v,,,,,,,,,,,,,,,,,21198-zz0009s6v6-1-thumbnail.jpg,21198-zz0009s6v6-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6v6
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6wq,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6wq-1-master.tif,9,,,,,,,,,pd,,,,,9,r,,,,,,,,,,,,,,,,,21198-zz0009s6wq-1-thumbnail.jpg,21198-zz0009s6wq-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6wq
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s6x7,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s6x7-1-master.tif,10,,,,,,,,,pd,,,,,10,v,,,,,,,,,,,,,,,,,21198-zz0009s6x7-1-thumbnail.jpg,21198-zz0009s6x7-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s6x7
