"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Alternate Identifier.local","Title","Relation.rectoVerso","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpng","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0001.tif","1","","","","","","","pd","1147_1391_0001","page 2","r","1147_1391_0001.jpg","1391_0001.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpng",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpr1","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0004.tif","2","","","","","","","pd","1147_1391_0004","page 3","v","1147_1391_0004.jpg","1391_0004.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpr1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpqh","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0003.tif","3","","","","","","","pd","1147_1391_0003","page 4","r","1147_1391_0003.jpg","1391_0003.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpqh",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpt2","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0006.tif","4","","","","","","","pd","1147_1391_0006","page 5","v","1147_1391_0006.jpg","1391_0006.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpt2",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpsj","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0005.tif","5","","","","","","","pd","1147_1391_0005","page 6","r","1147_1391_0005.jpg","1391_0005.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpsj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpw3","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0008.tif","6","","","","","","","pd","1147_1391_0008","page 7","v","1147_1391_0008.jpg","1391_0008.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpw3",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpvk","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0007.tif","7","","","","","","","pd","1147_1391_0007","page 8","r","1147_1391_0007.jpg","1391_0007.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpvk",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpz4","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0010.tif","8","","","","","","","pd","1147_1391_0010","page 9","v","1147_1391_0010.jpg","1391_0010.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpz4",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kpxm","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0009.tif","9","","","","","","","pd","1147_1391_0009","page 10","r","1147_1391_0009.jpg","1391_0009.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kpxm",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kq1n","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0012.tif","10","","","","","","","pd","1147_1391_0012","page 11","v","1147_1391_0012.jpg","1391_0012.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kq1n",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kq04","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0011.tif","11","","","","","","","pd","1147_1391_0011","page 12","r","1147_1391_0011.jpg","1391_0011.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kq04",""
