Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwpk,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_J_51_B_ED1.tif,499,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1210000|~|easternmost: E1220000|~|northernmost: N0400000|~|southernmost: N0390000,Fu-Hsien,G7830S_250_AMS_1945-46|~|G7830S_250_AMS_1945_J_51_B_ED1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwpk,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwq3,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_J_51_C_ED1.tif,500,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1220000|~|easternmost: E1230000|~|northernmost: N0400000|~|southernmost: N0390000,P'i-Tzu-Wo,G7830S_250_AMS_1945_J_51_C_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwq3,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwrm,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_J_51_D_ED1.tif,501,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1230000|~|easternmost: E1240000|~|northernmost: N0400000|~|southernmost: N0390000,Ta-Ku-Shan,G7830S_250_AMS_1945_J_51_D_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwrm,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdws4,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_J_51_G_ED1.tif,502,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost: N0390000|~|southernmost: N0380000|~|westernmost: E1200000|~|easternmost: E1210000,T'o-Chi-Tao,G7830S_250_AMS_1945_J_51_G_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdws4,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwtn,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_J_51_H_ED1.tif,503,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1210000|~|easternmost: E1220000|~|northernmost: N0390000|~|southernmost: N0380000,Dairen,G7830S_250_AMS_1945_J_51_H_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwtn,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwv5,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_K_ED1.tif,504,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1180000|~|easternmost: E1190000|~|northernmost: N0430000|~|southernmost: N0420000,Ch'ih-Feng,G7830S_250_AMS_1945_K_50_K_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwv5,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwwp,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_L_ED1.tif,505,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1190000|~|easternmost: E1200000|~|northernmost: N0430000|~|southernmost: N0420000,Hsiao-Ho-Yen,G7830S_250_AMS_1945_K_50_L_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwwp,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwx6,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_O_ED1.tif,506,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1160000|~|easternmost: E1170000|~|northernmost: N0420000|~|southernmost: N0410000,Ta-Ko-Chen,G7830S_250_AMS_1945_K_50_O_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwx6,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdwzq,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_P_ED1.tif,507,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1170000|~|easternmost: E1180000|~|nothernmost: N0420000|~|southernmost: N0410000,Lung-Hua,G7830S_250_AMS_1945_K_50_P_ED1|~|G7830S_250_AMS_1945-46,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdwzq,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdx0q,ark:/21198/zz002hc887,10,Completed with minimal metadata,Page,Masters/Maps/east_asian_maps/image/G7830S_250_AMS_1945-46/srgb/G7830S_250_AMS_1945_K_50_Q_ED1.tif,508,,,pd,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost: E1180000|~|easternmost: E1190000|~|northernmost: N0420000|~|southernmost: N0410000,Ning-Ch'eng,G7830S_250_AMS_1945-46|~|G7830S_250_AMS_1945_K_50_Q_ED1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdx0q,
