Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsp4,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_E3_11M_COI_1942_EDProv.tif,414,,,pd_usfed,,eng,cartographic,map|~|Topographic maps.,China--Languages--Maps|~|Manchuria (China)--Maps|~|Ethnology--China--Maps|~|民族--中國--地圖|~|中國--語言--地圖|~|滿州 (中國)--地圖,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0400000|~|westernmost:E1000000|~|southernmost:N0200000|~|easternmost:E1240000,"Manchuria 1:250,000",G7821_E3_11M_COI_1942_EDProv|~|Monograph_Maps,1942|~|1945-,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Reproduction Branch, OSS",1 map ; 30 x 26 cm.|~|col. maps. 45 x 35 cm.,"[Washington, D.C.?]|~|dcu","Provisional ed.|~|""Restricted"" cross over.""|~|""Contour interval 100 meters with auxiliary contours at 25 meter and 50 meter intervals.""|~|Marginal maps: Index to adjoining sheets.--Coverage diagram.--Index to boundaries.|~|Military grid.|~|""Russian place names transliterated according to the P.C.G.N. (1942) system ... Chinese place names transcribed according to the modified Wade-Giles system.""|~|LC copy stamped on: 620A.|~|""Map no. 490.""|~|Complete in about 185 sheets. Set includes various issues of some sheets.|~|Four classes of roads or trails and five classes of railroads are shown.|~|Scale 1:250,000.|~|""May 30, 1942.""|~|drawn in Geography Division, C.O.I.|~|Issued in 1° quadrangles numbered according to the system used for the International 1/m map of the world.|~|Includes ""Glossary.""|~|""Polyconic projection.""|~|Co-ordinated for use with the following sets covering adjoining areas: China proper, N.E. 1:250,000 (A.M.S. L531) Korea 1:250,000 (A.M.S. L551) and Inner Mongolia 1:250,000 (A.M.S. L521).|~|Provisional ed.",China|~|Ethnology|~|Manchuria (China)|~|115000,"滿州 1:250,000",Series L541,2007630479|~|map48000239,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsp4/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsqn,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_F7_7M_OSS_1945.tif,415,,,,,eng,cartographic,map,,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1000000|~|northernmost:N0500000|~|southernmost:N0200000|~|easternmost:E1250000,Provinces Of China,G7821_F7_7M_OSS_1945|~|Monograph_Maps,20 January 1945,1945-01-20,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China,中國省份,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsqn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsqn/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsr5,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_H2_105_COI_1942.tif,416,,,pd,,eng,cartographic,map,,East China--Maps.|~|中國東部--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1040000|~|easternmost:E1200000|~|northernmost:N0400000|~|southernmost:N0200000,Eastern China,G7821_H2_10.5_COI_1942|~|Monograph_Maps,"March 2, 1942",1942-03-02,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,East China,中國東部,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsr5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsr5/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdssp,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_H8_5M_1R1S_1945_EDProv.tif,417,,,pd_usfed,,eng,cartographic,map,Coal mines and mining--China--Maps|~|煤礦及開採--中國--地圖,China--Maps|~|中國--地圖,United States. Department of State. Interim Research and Intelligence Service. Research and Analysis Branch.|~|United States. War Department. Strategic Services Unit. Reproduction Branch.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0420000|~|westernmost:E1020000|~|southernmost:N0180000|~|easternmost:E1260000,"China, coal production and consumption",G7821_H8_5M_1R1S_1945_EDProv|~|Monograph_Maps,1945|~|[1945],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Lithographed in the Reproduction Branch, SSU",1 map : color ; 73 x 59 cm,"[Washington, D.C.]|~|dcu","Provisional ed.|~|R & A, IRIS.|~|""No. 8315.""|~|Includes chart showing ""reliability of data"" and statistics.|~|""Free.""|~|""31 December 1945.""|~|Provisional ed.",China|~|3800000,中國煤產地及消費,,2007627254,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdssp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdssp/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdst6,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_J1_105M_OSS_1942_EDProv.tif,418,,,pd,,,cartographic,map,Agriculture--China--Maps|~|農業--中國--地圖,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",southernmost:N0200000|~|westernmost:E1000000|~|easternmost:E1160000|~|northernmost:N0400000,Agricultural Areas Of China,G7821_J1_10.5M_OSS_1942_EDProv|~|Monograph_Maps,"June 2, 1942",1942-06-02,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,China,中國農業區,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdst6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdst6/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsvq,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_J1_1944_U55_EDProv.tif,419,,,pd_usfed,,eng,cartographic,map,Agriculture--China--Maps|~|農業--中國--地圖,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1230000|~|southernmost:N0340000|~|westernmost:E1140000|~|northernmost:N0410000,"China, east coast agricultural areas",G7821_J1_1944_U55_EDProv|~|Monograph_Maps,1944|~|[1944],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Lithographed in the Reproduction Branch, OSS",1 map ; 28 x 27 cm.,"[Washington, D.C.]|~|dcu","Provisional ed.|~|""No. 5431, R & A, OSS.""|~|LC copy has the words ""confidential"" crossed out in marker.|~|Includes location map, text, and glossary.|~|""Confidential.""|~|""23 October 1944.""|~|Provisional ed.",China|~|2600000,中國東海岸農業區,,2007627218,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsvq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsvq/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsw7,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_M1_1944_U55_EDProv.tif,420,,,pd_usfed,,eng,cartographic,map,Industries--China--Maps|~|Electric power-plants--China--Maps|~|發電廠--中國--地圖|~|工業--中國--地圖,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1130000|~|northernmost:N0340000|~|southernmost:N0230000,"China, East coast industrial installations and electrical power plants",G7821_M1_1944_U55_EDProv|~|Monograph_Maps,1944,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Reproduction Branch, OSS",1 map : col.,"[Washington, D.C.?]|~|dcu","""No. 5448.""|~|R & R, OSS.|~|Provisional ed.",China|~|4900000|~|easternmost:E1250000,中國東海岸的工業設施和發電廠,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsw7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsw7/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsxr,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_M1_1945_U55_EDProvtif.tif,421,,,pd_usfed,,eng,cartographic,map,China--Maps|~|Industries--China--Maps|~|Electric power--China--Maps|~|電力--中國--地圖|~|工業--中國--地圖,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1140000|~|easternmost:E1230000|~|northernmost:N0400000|~|southernmost:N0340000,North China : industrial installations and electric power plants,G7821_M1_1945_U55_EDProv|~|Monograph_Maps,1945,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Reproduction Branch, OSS",1 map : col. ; 30 x 35 cm.,[Washington]|~|dcu,"""No. 7277 -- R & A, OSS. 21 July 1945.""|~|Includes locator map and table.|~|Provisional ed.",China|~|25000000,中國北方: 工業設施和發電廠,Industrial installations and electric power plants,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsxr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsxr/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdsz8,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_P1_11M_OSS_1942_EDProv.tif,422,,,pd_usfed,,eng,cartographic,map,Waterways--China--Maps|~|水道--中國--地圖,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0960000|~|northernmost:N0440000|~|easternmost:E1200000|~|southernmost:N0200000,Waterways And Stage Routes,G7821_P1_11M_OSS_1942_EDProv|~|Monograph_Maps,"May 30, 1942",1942-05-30,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,china,水路和驛車路線,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdsz8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdsz8/manifest
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdt08,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7821_P1_4M_AMS_1945_ED3.tif,423,,,pd_usfed,,eng,cartographic,map,Transportation--China--Maps|~|運輸--中國--地圖,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0960000|~|easternmost:E1230000|~|northernmost:N0400000|~|southernmost:N0200000,China; special strategic map,G7821_P1_4M_AMS_1945_ED3|~|Monograph_Maps,1945,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Army Map Service,1 map : col. ; 57 x 73 cm.,"Washington, D.C|~|dcu","3d ed.|~|""A.M.S. #5207.""|~|""9-45.""|~|cc|~|3rd ed.",China|~|4000000,中國; 特殊戰略地圖,,2008622133|~|map47000198,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hdt08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hdt08/manifest
