File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00067_dc01m_001.tif,Page,Positive,1,ark:/21198/z1418q6w,ark:/21198/z1q25wq5
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00067_dc01m_002.tif,Page,Negative,2,ark:/21198/z1418q6w,ark:/21198/z1kd3vcq
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00068_dc01m_001.tif,Page,Positive,1,ark:/21198/z1087zg5,ark:/21198/z1fn33q8
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00068_dc01m_002.tif,Page,Negative,2,ark:/21198/z1087zg5,ark:/21198/z19w2c2v
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00069_dc01m_001.tif,Page,Positive,1,ark:/21198/z1vh7g08,ark:/21198/z1641m8j
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00069_dc01m_002.tif,Page,Negative,2,ark:/21198/z1vh7g08,ark:/21198/z12c0vhc
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00070_dc01m_001.tif,Page,Positive,1,ark:/21198/z1qr6q6n,ark:/21198/z1xm0c01
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00070_dc01m_002.tif,Page,Negative,2,ark:/21198/z1qr6q6n,ark:/21198/z1st9m96
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00071_dc01m_001.tif,Page,Positive,1,ark:/21198/z1m05zhp,ark:/21198/z1p57jzn
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00071_dc01m_002.tif,Page,Negative,2,ark:/21198/z1m05zhp,ark:/21198/z1jd6t97
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00072_dc01m_001.tif,Page,Positive,1,ark:/21198/z1g756v7,ark:/21198/z1dn62kw
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00072_dc01m_002.tif,Page,Negative,2,ark:/21198/z1g756v7,ark:/21198/z18w59v5
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00073_dc01m_001.tif,Page,Positive,1,ark:/21198/z1bk35fw,ark:/21198/z1544k28
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00073_dc01m_002.tif,Page,Negative,2,ark:/21198/z1bk35fw,ark:/21198/z11c3tbj
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00074_dc01m_001.tif,Page,Positive,1,ark:/21198/z16t2dth,ark:/21198/z1wm39x4
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00074_dc01m_002.tif,Page,Negative,2,ark:/21198/z16t2dth,ark:/21198/z1rz18hs
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00075_dc01m_001.tif,Page,Positive,1,ark:/21198/z1321p22,ark:/21198/z1n60hwq
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00075_dc01m_002.tif,Page,Negative,2,ark:/21198/z1321p22,ark:/21198/z1hd9s69
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00076_dc01m_001.tif,Page,Positive,1,ark:/21198/z1z915hv,ark:/21198/z1cn91d2
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00076_dc01m_002.tif,Page,Negative,2,ark:/21198/z1z915hv,ark:/21198/z17w88mf
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00077_dc01m_001.tif,Page,Positive,1,ark:/21198/z1tj0drp,ark:/21198/z1447hxg
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00077_dc01m_002.tif,Page,Negative,2,ark:/21198/z1tj0drp,ark:/21198/z10c6s82
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00078_dc01m_001.tif,Page,Positive,1,ark:/21198/z1pr9p1t,ark:/21198/z1vq504k
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00078_dc01m_002.tif,Page,Negative,2,ark:/21198/z1pr9p1t,ark:/21198/z1qz47gr
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00079_dc01m_001.tif,Page,Positive,1,ark:/21198/z1k08xdr,ark:/21198/z1m63gt7
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00079_dc01m_002.tif,Page,Negative,2,ark:/21198/z1k08xdr,ark:/21198/z1gf2r11
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00080_dc01m_001.tif,Page,Positive,1,ark:/21198/z1fb6w29,ark:/21198/z1bp2087
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00080_dc01m_002.tif,Page,Negative,2,ark:/21198/z1fb6w29,ark:/21198/z16x17jh
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00081_dc01m_001.tif,Page,Positive,1,ark:/21198/z19k64dv,ark:/21198/z137965c
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00081_dc01m_002.tif,Page,Negative,2,ark:/21198/z19k64dv,ark:/21198/z1zg8pq4
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00082_dc01m_001.tif,Page,Positive,1,ark:/21198/z15t5cp4,ark:/21198/z1tq7z35
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00082_dc01m_002.tif,Page,Negative,2,ark:/21198/z15t5cp4,ark:/21198/z1pz76ct
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00083_dc01m_001.tif,Page,Positive,1,ark:/21198/z1224mwt,ark:/21198/z1k66fmz
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00083_dc01m_002.tif,Page,Negative,2,ark:/21198/z1224mwt,ark:/21198/z1ff5ptb
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00084_dc01m_001.tif,Page,Positive,1,ark:/21198/z1x944cg,ark:/21198/z19p4z4g
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00084_dc01m_002.tif,Page,Negative,2,ark:/21198/z1x944cg,ark:/21198/z1612wrg
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00085_dc01m_001.tif,Page,Positive,1,ark:/21198/z1sj3cp6,ark:/21198/z1282520
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00085_dc01m_002.tif,Page,Negative,2,ark:/21198/z1sj3cp6,ark:/21198/z1xh1npn
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00086_dc01m_001.tif,Page,Positive,1,ark:/21198/z1ns2n27,ark:/21198/z1sr0wzx
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00086_dc01m_002.tif,Page,Negative,2,ark:/21198/z1ns2n27,ark:/21198/z1p0055d
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00087_dc01m_001.tif,Page,Positive,1,ark:/21198/z1j40kns,ark:/21198/z1j69dc7
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00087_dc01m_002.tif,Page,Negative,2,ark:/21198/z1j40kns,ark:/21198/z1df8npz
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00088_dc01m_001.tif,Page,Positive,1,ark:/21198/z1db9v18,ark:/21198/z18s6mcz
Masters/othermasters/MEAPmigration/aifnegatives/images/0002kh00088_dc01m_002.tif,Page,Negative,2,ark:/21198/z1db9v18,ark:/21198/z1515vqf
