File name,Original language title,Translated Title,Alternative title,Creator,Contributor,Publisher,Publisher.place,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Insitution/Repository,collection name,collection number,box number,folder number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract | eng,Note.content,Subject.topic,Subject.temporal,Digital Collection Title,Latitude/longitude,Subject.place
barb_eph_ab0001.pdf,Guide to Andromeda Gardens,,,Barbados National Trust,,Barbados National Trust,Barbados,Between 1970 and 1990,1970/1990,eng,text,brochures,4 pages,21.5 cm x 16.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Guide to identification of plants found in the Andromeda Gardens. Andromeda Botanic Gardens is located on 6 acres of land and consist of various collections of tropical plants, flowers and trees. The Garden started as a private plant collection in 1954 by Iris Bannochie on land owned by her family. It was first opened to the public during a fund raising event by the Barbados Horticultural Society in the 1970s. Andromeda has over five hundred different species of plants which are adapted to a range of tropical environment.",,Parks |~| Nature |~| Tropical plants,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Joseph (Barbados)
barb_eph_ab0002.pdf,Barbados Youth Service Promotional Brochure,,,Barbados Youth Service,,Barbados Youth Service,Barbados,Between 1970 and 2000,1970/2000,eng,text,brochures,6 pages,21 cm x 10 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Program from the Barbados Youth Service outlining courses being offered, including Survival Skills, Cultural Activities, Job Training, Community Service, Personal Development and Summer Camp. Also includes registration criteria (unemployed status, age 16-22, etc.).",,Youth |~| Training |~| Life skills,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0003.pdf,Programme and Scorebook of the Seventh Annual Regional Bridge Tournament,,,Barbados Bridge League,,Barbados Bridge League,Barbados,1978,1978,eng,text,booklets,28 pages,21 cm x 13.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Booklet containing information about the 7th Annual Bridge Tournament of the Central and Caribbean Bridge Federation in 1978, history of the federation, programme of events, scores for teams (open pairs, national team, ladies' teams, swiss teams), and prize list.",,Contract bridge--Tournaments,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0004.pdf,"""Special Brew for a Special Occasion""",,,Banks Barbados Breweries,,Banks Barbados Breweries,Barbados,2006,2006,eng,text,advertisements,3 pages,27 cm x 7.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Promotional material celebrating the 40th Year of Independence of Barbados in 2006 with the first ale from Banks Breweries. Cut-out in the shape of a beer bottle. Contains info about the 1966 Amber ale, such as colour, taste, and hops. Banks (Barbados) Breweries was opened in Barbados on September 6, 1961. It was founded by Guyanese businessman Peter Stanislaus D'Aguiar.",,Beer |~| Beer industry |~| Beer bottles |~| Advertisements,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0005.pdf,"Mount Gay Rum ""Extra Old""",,,Mount Gay Distilleries Ltd.,,Mount Gay Distilleries Ltd.,Barbados,2000,2000,eng,text,advertisements,2 pages,28 cm x 21.6 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Launching of new bottle, new label and new gift box for ""Extra Old"" Barbados rum in honour of the new millennium (2000). Contains description of packaging. Mount Gay Rum is the oldest brand of rum in existence, having been produced since 1703.",,"Rum |~| Rum industry |~| Advertisements |~| Millenium celebrations (Year 2000)
",21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0006.pdf,"""Get the Energy in the Palm of Your Hand"": The ESSO Customer Card",,,ESSO,,ESSO,Barbados,1998,1998,eng,text,advertisements |~| fliers (printed matter),2 pages,21.5 cm x 9 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,Promotional flyer for ESSO customer card. Contains benefits to the customer and information on how to obtain the customer card.,,Advertisements|~| Gas companies |~| Customer services,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",
barb_eph_ab0007.pdf,Kids International,,,Kids International,,Kids International,Barbados,Between 1990 and 2000,1990/2000,eng,text,advertisements |~| fliers (printed matter),2 pages,22.5 cm x 10 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Advertisement for kids' clothing store, with clothing for every occasion, including confirmations, weddings, christenings, parties, casual wear and much more.",,Clothing |~| Children |~| Advertisements,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0008.pdf,Barbados Public Workers Co-operative Credit Union Limited: Co-optima,,,Barbados Public Workers' Co-Operative Credit Union Limited (BPWCCUL),,Barbados Public Workers' Co-Operative Credit Union Limited (BPWCCUL),Barbados,Between 1990 and 2010,1990/2010,eng,text,advertisements,2 pages,15.5 cm x 10 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,1,public domain,published,Barbados Department of Archives,"Advertising services offered by the Credit Union, including Co-optima Contact, Co-optima Voice and Co-optima Connect (online banking system). The Barbados Public Workers Co-operative Credit Union Limited (BPWCCUL) started in 1968 and initially catered to civil servants. Presently, the credit union caters to all Barbadians both resident and non-resident.",,Advertisements |~| Customer services |~| Credit unions,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
barb_eph_ab0009.pdf,District Agricultural Show 1966,,,Ministry of Agriculture and Fisheries,,Ministry of Agriculture and Fisheries,Barbados,"June 9, 2021",1966-06-09,eng,text,booklets |~| agriculture,14 pages,23 cm x 15 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural show held at the Sayes Court Agricultural Station on Thursday, 9th June, 1966. Contains program of activities, notes on show rules and preparation of animals, prize list, photos, youth competitions, and list of challenge cups donated to the show.",,Agricultural Exhibitions |~| Agriculture |~| Exhibitions |~| Animals |~| Competitions,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Christ Church (Barbados)
barb_eph_ab0010.pdf,District Agricultural Show 1968,,,"Ministry of Agriculture, Labour and National Insurance",,"Ministry of Agriculture, Labour and National Insurance",Barbados,"September 26, 1968",1968-09-26,eng,text,booklets |~| agriculture,15 pages,23.6 cm x 15.5 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Agricultural show held at Fisherpond Plantation Yard on Thursday, Sept. 26, 1968. Contains program of activities, notes on show rules and preparation of animals, prize list, youth competitions, photos, and list of challenge cups donated to the show.",,Agricultural Exhibitions |~| Agriculture |~| Exhibitions |~| Animals |~| Competitions,21st Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Thomas (Barbados)
barb_eph_ab0011.pdf,Annual Achievement Day 1968,,,Barbados 4 - H Clubs,,Barbados 4 - H Clubs,Barbados,1968,1968,eng,text,booklets |~| agriculture,10 pages,21.5 cm x 16.2 cm,Barbados Department of Archives,Ephemera Collection,C319,A - B,2,public domain,published,Barbados Department of Archives,"Achievement Day celebrations held on Deacons Road Farm on Saturday, 6th April, 1968. Contains program of events, prize list, list of judges and donors, and names and addresses of clubs.",,Agricultural Exhibitions |~| Agriculture |~| Exhibitions |~| Animals |~| Competitions |~| Athletics,20th Century,Barbados Ephemera Collection,"13.1939° N, 59.5432° W",Saint Michael (Barbados)
