Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1001v86,ark:/21198/z11v7bd0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v7bd0
ark:/21198/z1001v86,ark:/21198/z12r5p42,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5p42
ark:/21198/z1001v86,ark:/21198/z15h9cpj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0014.tif,Page,Page 14,14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9cpj
ark:/21198/z1001v86,ark:/21198/z16h6dtx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h6dtx
ark:/21198/z1001v86,ark:/21198/z19904dt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0013.tif,Page,Page 13,13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19904dt
ark:/21198/z1001v86,ark:/21198/z1b875h6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b875h6
ark:/21198/z1001v86,ark:/21198/z1f20w28,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20w28
ark:/21198/z1001v86,ark:/21198/z1g17x63,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17x63
ark:/21198/z1001v86,ark:/21198/z1jt1ms8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1ms8
ark:/21198/z1001v86,ark:/21198/z1ks8p0d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8p0d
ark:/21198/z1001v86,ark:/21198/z1pk2cjf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk2cjf
ark:/21198/z1001v86,ark:/21198/z1qj9dqq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9dqq
ark:/21198/z1001v86,ark:/21198/z1sb6357,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0017.tif,Page,Page 17,17,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6357
ark:/21198/z1001v86,ark:/21198/z1tb34ch,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb34ch
ark:/21198/z1001v86,ark:/21198/z1vb05gf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb05gf
ark:/21198/z1001v86,ark:/21198/z1x36tz2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36tz2
ark:/21198/z1001v86,ark:/21198/z1z33w3v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0055_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33w3v
