Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z10k42nm,ark:/21198/z1001xz0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0034.tif,Page,Page 34,34,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001xz0
ark:/21198/z10k42nm,ark:/21198/z1059bqk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059bqk
ark:/21198/z10k42nm,ark:/21198/z10s1k5g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0057.tif,Page,Page 57,57,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1k5g
ark:/21198/z10k42nm,ark:/21198/z10z904r,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0026.tif,Page,Page 26,26,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z904r
ark:/21198/z10k42nm,ark:/21198/z11r8mbr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0049.tif,Page,Page 49,49,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8mbr
ark:/21198/z10k42nm,ark:/21198/z11z6167,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0018.tif,Page,Page 18,18,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6167
ark:/21198/z10k42nm,ark:/21198/z12r5nhk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0041.tif,Page,Page 41,41,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5nhk
ark:/21198/z10k42nm,ark:/21198/z12z3295,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3295
ark:/21198/z10k42nm,ark:/21198/z13j58qz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0064.tif,Page,Page 64,64,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j58qz
ark:/21198/z10k42nm,ark:/21198/z13r2ppd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0036_0033.tif,Page,Page 33,33,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2ppd
