Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z13792rb,ark:/21198/z10g5gds,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5gds
ark:/21198/z13792rb,ark:/21198/z11c3t4v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3t4v
ark:/21198/z13792rb,ark:/21198/z1447hqs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447hqs
ark:/21198/z13792rb,ark:/21198/z1544jv5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544jv5
ark:/21198/z13792rb,ark:/21198/z17w88dr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0014.tif,Page,Page 14,14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w88dr
ark:/21198/z13792rb,ark:/21198/z18w59ng,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w59ng
ark:/21198/z13792rb,ark:/21198/z1cn916c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0013.tif,Page,Page 13,13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn916c
ark:/21198/z13792rb,ark:/21198/z1dn62c6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn62c6
ark:/21198/z13792rb,ark:/21198/z1hd9s0m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9s0m
ark:/21198/z13792rb,ark:/21198/z1jd6t3j,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6t3j
ark:/21198/z13792rb,ark:/21198/z1n60hp1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60hp1
ark:/21198/z13792rb,ark:/21198/z1p57jsd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jsd
ark:/21198/z13792rb,ark:/21198/z1rz18bj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz18bj
ark:/21198/z13792rb,ark:/21198/z1sx89gc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx89gc
ark:/21198/z13792rb,ark:/21198/z1wq2128,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2128
ark:/21198/z13792rb,ark:/21198/z1xm0btc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0039_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm0btc
