Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z14q9n13,ark:/21198/z10882rc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10882rc
ark:/21198/z14q9n13,ark:/21198/z11853wr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11853wr
ark:/21198/z14q9n13,ark:/21198/z1418tgq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418tgq
ark:/21198/z14q9n13,ark:/21198/z1515vkn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515vkn
ark:/21198/z14q9n13,ark:/21198/z17s9k47,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9k47
ark:/21198/z14q9n13,ark:/21198/z18s6m8m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6m8m
ark:/21198/z14q9n13,ark:/21198/z1ck09v3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck09v3
ark:/21198/z14q9n13,ark:/21198/z1dj7c27,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7c27
ark:/21198/z14q9n13,ark:/21198/z1hb12m8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb12m8
ark:/21198/z14q9n13,ark:/21198/z1n31tc2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31tc2
ark:/21198/z14q9n13,ark:/21198/z1rv2k4x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2k4x
ark:/21198/z14q9n13,ark:/21198/z1wh4mfx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0046_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4mfx
