Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1h727tc,ark:/21198/z10w08gf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w08gf
ark:/21198/z1h727tc,ark:/21198/z11v79nq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v79nq
ark:/21198/z1h727tc,ark:/21198/z14n117m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n117m
ark:/21198/z1h727tc,ark:/21198/z15m82cf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m82cf
ark:/21198/z1h727tc,ark:/21198/z18d1rwn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0014.tif,Page,Page 14,14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1rwn
ark:/21198/z1h727tc,ark:/21198/z19c8t2b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8t2b
ark:/21198/z1h727tc,ark:/21198/z1d52hkx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0013.tif,Page,Page 13,13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52hkx
ark:/21198/z1h727tc,ark:/21198/z1f49jt3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49jt3
ark:/21198/z1h727tc,ark:/21198/z1hx38bs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx38bs
ark:/21198/z1h727tc,ark:/21198/z1jx09kh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx09kh
ark:/21198/z1h727tc,ark:/21198/z1np414d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np414d
ark:/21198/z1h727tc,ark:/21198/z1pp12bp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp12bp
ark:/21198/z1h727tc,ark:/21198/z1rf7qrd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0018.tif,Page,Page 18,18,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7qrd
ark:/21198/z1h727tc,ark:/21198/z1sf4rws,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4rws
ark:/21198/z1h727tc,ark:/21198/z1tb33np,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb33np
ark:/21198/z1h727tc,ark:/21198/z1w68gg4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0017.tif,Page,Page 17,17,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68gg4
ark:/21198/z1h727tc,ark:/21198/z1x36t66,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36t66
ark:/21198/z1h727tc,ark:/21198/z1z33vc1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0035_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33vc1
