Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1ks8jn8,ark:/21198/z10p2wdp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0005.tif,Page,Page 5,5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2wdp
ark:/21198/z1ks8jn8,ark:/21198/z12f9jx4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0020.tif,Page,Page 20,20,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9jx4
ark:/21198/z1ks8jn8,ark:/21198/z13f6m2x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0012.tif,Page,Page 12,12,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6m2x
ark:/21198/z1ks8jn8,ark:/21198/z14f3n3z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0004.tif,Page,Page 4,4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3n3z
ark:/21198/z1ks8jn8,ark:/21198/z16709mz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0019.tif,Page,Page 19,19,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16709mz
ark:/21198/z1ks8jn8,ark:/21198/z1767bqb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767bqb
ark:/21198/z1ks8jn8,ark:/21198/z1864ct8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864ct8
ark:/21198/z1ks8jn8,ark:/21198/z1b0128s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0018.tif,Page,Page 18,18,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b0128s
ark:/21198/z1ks8jn8,ark:/21198/z1bz83fr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz83fr
ark:/21198/z1ks8jn8,ark:/21198/z1cz54mk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz54mk
ark:/21198/z1ks8jn8,ark:/21198/z1fr1t18,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0017.tif,Page,Page 17,17,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1t18
ark:/21198/z1ks8jn8,ark:/21198/z1gq8v70,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8v70
ark:/21198/z1ks8jn8,ark:/21198/z1hq5wbx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5wbx
ark:/21198/z1ks8jn8,ark:/21198/z1kh2js1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2js1
ark:/21198/z1ks8jn8,ark:/21198/z1mg9kz9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9kz9
ark:/21198/z1ks8jn8,ark:/21198/z1q839j6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q839j6
ark:/21198/z1ks8jn8,ark:/21198/z1r80bn4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80bn4
ark:/21198/z1ks8jn8,ark:/21198/z1v14261,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0014.tif,Page,Page 14,14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14261
ark:/21198/z1ks8jn8,ark:/21198/z1vx2d0p,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2d0p
ark:/21198/z1ks8jn8,ark:/21198/z1zp63km,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0058_0013.tif,Page,Page 13,13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp63km
