Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1n60dfn,ark:/21198/z1059br1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0009.tif,Page,Page 9,9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059br1
ark:/21198/z1n60dfn,ark:/21198/z1156cwd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156cwd
ark:/21198/z1n60dfn,ark:/21198/z12z32bm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z32bm
ark:/21198/z1n60dfn,ark:/21198/z13z03g0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z03g0
ark:/21198/z1n60dfn,ark:/21198/z15q6rwq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0023.tif,Page,Page 23,23,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6rwq
ark:/21198/z1n60dfn,ark:/21198/z16q3t2z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3t2z
ark:/21198/z1n60dfn,ark:/21198/z17q0v87,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0v87
ark:/21198/z1n60dfn,ark:/21198/z19g7hnw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0022.tif,Page,Page 22,22,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7hnw
ark:/21198/z1n60dfn,ark:/21198/z1bg4jv5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0014.tif,Page,Page 14,14,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4jv5
ark:/21198/z1n60dfn,ark:/21198/z1cg1kxn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0006.tif,Page,Page 6,6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1kxn
ark:/21198/z1n60dfn,ark:/21198/z1f788d2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0021.tif,Page,Page 21,21,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f788d2
ark:/21198/z1n60dfn,ark:/21198/z1g759jf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0063_0013.tif,Page,Page 13,13,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g759jf
