Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1rf7n5z,ark:/21198/z1030nn9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0042.tif,Page,Page 42,42,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030nn9
ark:/21198/z1rf7n5z,ark:/21198/z10882h7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0011.tif,Page,Page 11,11,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10882h7
ark:/21198/z1rf7n5z,ark:/21198/z1127ps4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0034.tif,Page,Page 34,34,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127ps4
ark:/21198/z1rf7n5z,ark:/21198/z1156d8r,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0003.tif,Page,Page 3,3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156d8r
ark:/21198/z1rf7n5z,ark:/21198/z11v7b5v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0057.tif,Page,Page 57,57,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v7b5v
ark:/21198/z1rf7n5z,ark:/21198/z1224qzz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0026.tif,Page,Page 26,26,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224qzz
ark:/21198/z1rf7n5z,ark:/21198/z12v4c8s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0049.tif,Page,Page 49,49,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4c8s
ark:/21198/z1rf7n5z,ark:/21198/z1321s3r,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0018.tif,Page,Page 18,18,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321s3r
ark:/21198/z1rf7n5z,ark:/21198/z13v1db8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0041.tif,Page,Page 41,41,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1db8
ark:/21198/z1rf7n5z,ark:/21198/z1418t7k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0010.tif,Page,Page 10,10,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418t7k
ark:/21198/z1rf7n5z,ark:/21198/z14n11rb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0064.tif,Page,Page 64,64,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n11rb
ark:/21198/z1rf7n5z,ark:/21198/z14t8fkf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0033.tif,Page,Page 33,33,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8fkf
ark:/21198/z1rf7n5z,ark:/21198/z14x74z9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0002.tif,Page,Page 2,2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x74z9
ark:/21198/z1rf7n5z,ark:/21198/z15m82vq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0056.tif,Page,Page 56,56,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m82vq
ark:/21198/z1rf7n5z,ark:/21198/z15t5gr8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0025.tif,Page,Page 25,25,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gr8
ark:/21198/z1rf7n5z,ark:/21198/z16m53zn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0048.tif,Page,Page 48,48,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m53zn
ark:/21198/z1rf7n5z,ark:/21198/z16t2htr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0017.tif,Page,Page 17,17,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2htr
ark:/21198/z1rf7n5z,ark:/21198/z17m253f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0142_0040.tif,Page,Page 40,40,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m253f
