Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,IIIF Access URL
ark:/21198/z1w68cw8,ark:/21198/z10c6rwq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0032.tif,Page,Page 32,32,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6rwq
ark:/21198/z1w68cw8,ark:/21198/z10k45sn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0001.tif,Page,Page 1,1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k45sn
ark:/21198/z1w68cw8,ark:/21198/z11c3t02,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0024.tif,Page,Page 24,24,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3t02
ark:/21198/z1w68cw8,ark:/21198/z1253fd4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0047.tif,Page,Page 47,47,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253fd4
ark:/21198/z1w68cw8,ark:/21198/z12c0v6b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0016.tif,Page,Page 16,16,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0v6b
ark:/21198/z1w68cw8,ark:/21198/z1350gh2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0039.tif,Page,Page 39,39,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350gh2
ark:/21198/z1w68cw8,ark:/21198/z13b7wcm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0008.tif,Page,Page 8,8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7wcm
ark:/21198/z1w68cw8,ark:/21198/z1447hk0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0031.tif,Page,Page 31,31,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447hk0
ark:/21198/z1w68cw8,ark:/21198/z1544jrt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0023.tif,Page,Page 23,23,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544jrt
ark:/21198/z1w68cw8,ark:/21198/z15x462n,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0046.tif,Page,Page 46,46,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x462n
ark:/21198/z1w68cw8,ark:/21198/z1641kz3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0015.tif,Page,Page 15,15,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641kz3
ark:/21198/z1w68cw8,ark:/21198/z16x1761,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0038.tif,Page,Page 38,38,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1761
ark:/21198/z1w68cw8,ark:/21198/z1738n3b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0007.tif,Page,Page 7,7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738n3b
ark:/21198/z1w68cw8,ark:/21198/z17w889d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0141_0030.tif,Page,Page 30,30,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w889d
