Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1db9tzz,ark:/21198/z1p57jm5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jm5
ark:/21198/z1db9tzz,ark:/21198/z1jd6sxw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6sxw
ark:/21198/z1db9tzz,ark:/21198/z1dn626z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn626z
ark:/21198/z1db9tzz,ark:/21198/z18w59hp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w59hp
ark:/21198/z1db9tzz,ark:/21198/z1573860,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1573860
ark:/21198/z1db9tzz,ark:/21198/z11g2hft,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2hft
ark:/21198/z1db9tzz,ark:/21198/z1wq20x2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq20x2
ark:/21198/z1db9tzz,ark:/21198/z1rz1859,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1859
ark:/21198/z1db9tzz,ark:/21198/z1n60hhs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60hhs
ark:/21198/z1db9tzz,ark:/21198/z1hd9rtz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9rtz
ark:/21198/z1db9tzz,ark:/21198/z1cn912k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn912k
ark:/21198/z1db9tzz,ark:/21198/z1806zt0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806zt0
ark:/21198/z1db9tzz,ark:/21198/z147672m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz147672m
ark:/21198/z1db9tzz,ark:/21198/z10g5g80,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5g80
ark:/21198/z1db9tzz,ark:/21198/z1vq4zs9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4zs9
ark:/21198/z1db9tzz,ark:/21198/z1qz473t,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0016.tif,Page,Page 16,16,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz473t
ark:/21198/z1db9tzz,ark:/21198/z1m63gf9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0017.tif,Page,Page 17,17,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63gf9
ark:/21198/z1db9tzz,ark:/21198/z1gf2qp4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0018.tif,Page,Page 18,18,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2qp4
ark:/21198/z1db9tzz,ark:/21198/z1bs0pbp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0019.tif,Page,Page 19,19,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0pbp
ark:/21198/z1db9tzz,ark:/21198/z1709xmq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0020.tif,Page,Page 20,20,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709xmq
ark:/21198/z1db9tzz,ark:/21198/z13795tg,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0021.tif,Page,Page 21,21,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13795tg
ark:/21198/z1db9tzz,ark:/21198/z1zg8pb6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0022.tif,Page,Page 22,22,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8pb6
ark:/21198/z1db9tzz,ark:/21198/z1tq7xpc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0023.tif,Page,Page 23,23,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7xpc
ark:/21198/z1db9tzz,ark:/21198/z1pz75z1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0024.tif,Page,Page 24,24,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz75z1
ark:/21198/z1db9tzz,ark:/21198/z1k66f71,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0025.tif,Page,Page 25,25,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66f71
ark:/21198/z1db9tzz,ark:/21198/z1fj4cz2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0106_0026.tif,Page,Page 26,26,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj4cz2
