Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1f785nz,ark:/21198/z1zd0015,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0015
ark:/21198/z1f785nz,ark:/21198/z1tm978f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm978f
ark:/21198/z1f785nz,ark:/21198/z1pv8gh8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8gh8
ark:/21198/z1f785nz,ark:/21198/z1k66f6k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66f6k
ark:/21198/z1f785nz,ark:/21198/z1ff5pfd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5pfd
ark:/21198/z1f785nz,ark:/21198/z19p4xqp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4xqp
ark:/21198/z1f785nz,ark:/21198/z15x4616,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4616
ark:/21198/z1f785nz,ark:/21198/z1253fb7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253fb7
ark:/21198/z1f785nz,ark:/21198/z1xd2xt3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2xt3
ark:/21198/z1f785nz,ark:/21198/z1sn2635,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2635
ark:/21198/z1f785nz,ark:/21198/z1p004rm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p004rm
ark:/21198/z1f785nz,ark:/21198/z1j69d09,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69d09
ark:/21198/z1f785nz,ark:/21198/z1df8n8k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8n8k
ark:/21198/z1f785nz,ark:/21198/z18p7wmr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7wmr
ark:/21198/z1f785nz,ark:/21198/z14x74wd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x74wd
ark:/21198/z1f785nz,ark:/21198/z1156d6v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0016.tif,Page,Page 16,16,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156d6v
ark:/21198/z1f785nz,ark:/21198/z1wd5wpq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0017.tif,Page,Page 17,17,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5wpq
ark:/21198/z1f785nz,ark:/21198/z1rr3vcq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0018.tif,Page,Page 18,18,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3vcq
ark:/21198/z1f785nz,ark:/21198/z1n033np,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0019.tif,Page,Page 19,19,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n033np
ark:/21198/z1f785nz,ark:/21198/z1h72bxz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0020.tif,Page,Page 20,20,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h72bxz
ark:/21198/z1f785nz,ark:/21198/z1cg1m73,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0021.tif,Page,Page 21,21,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1m73
ark:/21198/z1f785nz,ark:/21198/z17q0vk8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0022.tif,Page,Page 22,22,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0vk8
ark:/21198/z1f785nz,ark:/21198/z13z03tg,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0023.tif,Page,Page 23,23,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z03tg
ark:/21198/z1f785nz,ark:/21198/z10882fb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0024.tif,Page,Page 24,24,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10882fb
ark:/21198/z1f785nz,ark:/21198/z1vh7k0h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0025.tif,Page,Page 25,25,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7k0h
ark:/21198/z1f785nz,ark:/21198/z1qr6t7b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0098_0026.tif,Page,Page 26,26,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6t7b
