Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1hx35qg,ark:/21198/z1ww9dt2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9dt2
ark:/21198/z1hx35qg,ark:/21198/z1s48p4h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48p4h
ark:/21198/z1hx35qg,ark:/21198/z1nc7xds,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7xds
ark:/21198/z1hx35qg,ark:/21198/z1hq5w3s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5w3s
ark:/21198/z1hx35qg,ark:/21198/z1cz54cf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz54cf
ark:/21198/z1hx35qg,ark:/21198/z1864ck4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864ck4
ark:/21198/z1hx35qg,ark:/21198/z14f3mvd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3mvd
ark:/21198/z1hx35qg,ark:/21198/z10p2w5j,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2w5j
ark:/21198/z1hx35qg,ark:/21198/z1vx2cqp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2cqp
ark:/21198/z1hx35qg,ark:/21198/z1r51mzt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51mzt
ark:/21198/z1hx35qg,ark:/21198/z1mg9kpq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9kpq
ark:/21198/z1hx35qg,ark:/21198/z1gq8tz0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8tz0
ark:/21198/z1hx35qg,ark:/21198/z1bz8355,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8355
ark:/21198/z1hx35qg,ark:/21198/z1767bfr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0136_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767bfr
