Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1jt1hg0,ark:/21198/z16m53rz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m53rz
ark:/21198/z1jt1hg0,ark:/21198/z12v4c23,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4c23
ark:/21198/z1jt1hg0,ark:/21198/z1z33vp2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33vp2
ark:/21198/z1jt1hg0,ark:/21198/z1tf1t95,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1t95
ark:/21198/z1jt1hg0,ark:/21198/z1pp12p5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp12p5
ark:/21198/z1jt1hg0,ark:/21198/z1jx09wj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx09wj
ark:/21198/z1jt1hg0,ark:/21198/z1f49k33,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49k33
ark:/21198/z1jt1hg0,ark:/21198/z19c8tbx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8tbx
ark:/21198/z1jt1hg0,ark:/21198/z15m82n1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m82n1
ark:/21198/z1jt1hg0,ark:/21198/z11v79zr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v79zr
ark:/21198/z1jt1hg0,ark:/21198/z1x65hw3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0035_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65hw3
