Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1km14w2,ark:/21198/z1db9xxr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9xxr
ark:/21198/z1km14w2,ark:/21198/z18k964x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k964x
ark:/21198/z1km14w2,ark:/21198/z14t8fd6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8fd6
ark:/21198/z1km14w2,ark:/21198/z1127pmw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127pmw
ark:/21198/z1km14w2,ark:/21198/z1w9766w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9766w
ark:/21198/z1km14w2,ark:/21198/z1rn54tk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn54tk
ark:/21198/z1km14w2,ark:/21198/z1mw4d55,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4d55
ark:/21198/z1km14w2,ark:/21198/z1h43nhn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43nhn
ark:/21198/z1km14w2,ark:/21198/z1cc2wrg,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2wrg
ark:/21198/z1km14w2,ark:/21198/z17m24xs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m24xs
ark:/21198/z1km14w2,ark:/21198/z13v1d51,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1d51
ark:/21198/z1km14w2,ark:/21198/z1030nhh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030nhh
ark:/21198/z1km14w2,ark:/21198/z1vd8vf0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8vf0
ark:/21198/z1km14w2,ark:/21198/z1qn83t0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn83t0
ark:/21198/z1km14w2,ark:/21198/z1kw7c3p,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7c3p
ark:/21198/z1km14w2,ark:/21198/z1g46mc8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0016.tif,Page,Page 16,16,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46mc8
ark:/21198/z1km14w2,ark:/21198/z1bc5vj6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0017.tif,Page,Page 17,17,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5vj6
ark:/21198/z1km14w2,ark:/21198/z16m53sd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0018.tif,Page,Page 18,18,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m53sd
ark:/21198/z1km14w2,ark:/21198/z12v4c40,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0058_0019.tif,Page,Page 19,19,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4c40
