Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1km14zz,ark:/21198/z19g7j8c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7j8c
ark:/21198/z1km14zz,ark:/21198/z15q6sgr,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6sgr
ark:/21198/z1km14zz,ark:/21198/z11z61sv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z61sv
ark:/21198/z1km14zz,ark:/21198/z1x65jcs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65jcs
ark:/21198/z1km14zz,ark:/21198/z1sf4sph,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4sph
ark:/21198/z1km14zz,ark:/21198/z1ns2rch,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2rch
ark:/21198/z1km14zz,ark:/21198/z1j120px,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j120px
ark:/21198/z1km14zz,ark:/21198/z1d817w9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d817w9
ark:/21198/z1km14zz,ark:/21198/z18h0h4j,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0h4j
ark:/21198/z1km14zz,ark:/21198/z14q9rct,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9rct
ark:/21198/z1km14zz,ark:/21198/z10z90rt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z90rt
ark:/21198/z1km14zz,ark:/21198/z1w976m8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w976m8
ark:/21198/z1km14zz,ark:/21198/z1rj6fzf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6fzf
ark:/21198/z1km14zz,ark:/21198/z1ms5q91,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5q91
ark:/21198/z1km14zz,ark:/21198/z1h14zg8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0089_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14zg8
