Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1m34ntn,ark:/21198/z1cr7q7c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7q7c
ark:/21198/z1m34ntn,ark:/21198/z1806zhz,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806zhz
ark:/21198/z1m34ntn,ark:/21198/z14766r5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14766r5
ark:/21198/z1m34ntn,ark:/21198/z10g5g0d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5g0d
ark:/21198/z1m34ntn,ark:/21198/z1vt3nx1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3nx1
ark:/21198/z1m34ntn,ark:/21198/z1r22x61,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22x61
ark:/21198/z1m34ntn,ark:/21198/z1m925gp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m925gp
ark:/21198/z1m34ntn,ark:/21198/z1gj1dtv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1dtv
ark:/21198/z1m34ntn,ark:/21198/z1bs0p1n,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0p1n
ark:/21198/z1m34ntn,ark:/21198/z1709x9p,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0104_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709x9p
