Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1ms5kxf,ark:/21198/z1mw4dhn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4dhn
ark:/21198/z1ms5kxf,ark:/21198/z1h43nv4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43nv4
ark:/21198/z1ms5kxf,ark:/21198/z1cc2x4t,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2x4t
ark:/21198/z1ms5kxf,ark:/21198/z17q0vvv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0vvv
ark:/21198/z1ms5kxf,ark:/21198/z13z043g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z043g
ark:/21198/z1ms5kxf,ark:/21198/z1059cb2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059cb2
ark:/21198/z1ms5kxf,ark:/21198/z1vd8vtx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8vtx
ark:/21198/z1ms5kxf,ark:/21198/z1qn845w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn845w
ark:/21198/z1ms5kxf,ark:/21198/z1kw7cf5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7cf5
ark:/21198/z1ms5kxf,ark:/21198/z1g46mr6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46mr6
ark:/21198/z1ms5kxf,ark:/21198/z1bg4kf6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4kf6
ark:/21198/z1ms5kxf,ark:/21198/z16q3tp1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3tp1
ark:/21198/z1ms5kxf,ark:/21198/z12z32x7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z32x7
ark:/21198/z1ms5kxf,ark:/21198/z1z62kdt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62kdt
ark:/21198/z1ms5kxf,ark:/21198/z1tf1tqj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0050_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1tqj
