Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1ng6hqh,ark:/21198/z1cz54dw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz54dw
ark:/21198/z1ng6hqh,ark:/21198/z1864cmk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864cmk
ark:/21198/z1ng6hqh,ark:/21198/z14f3mwv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3mwv
ark:/21198/z1ng6hqh,ark:/21198/z10p2w60,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2w60
ark:/21198/z1ng6hqh,ark:/21198/z1vx2csk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2csk
ark:/21198/z1ng6hqh,ark:/21198/z1r80bff,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80bff
ark:/21198/z1ng6hqh,ark:/21198/z1mg9krm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9krm
ark:/21198/z1ng6hqh,ark:/21198/z1gq8v0v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8v0v
ark:/21198/z1ng6hqh,ark:/21198/z1bz836m,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz836m
ark:/21198/z1ng6hqh,ark:/21198/z1767bg6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767bg6
ark:/21198/z1ng6hqh,ark:/21198/z13f6kvt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6kvt
ark:/21198/z1ng6hqh,ark:/21198/z1zp63cx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0166_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp63cx
