Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1pv8cgk,ark:/21198/z1f788wb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f788wb
ark:/21198/z1pv8cgk,ark:/21198/z19g7j4k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7j4k
ark:/21198/z1pv8cgk,ark:/21198/z15q6scd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6scd
ark:/21198/z1pv8cgk,ark:/21198/z1224r35,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224r35
ark:/21198/z1pv8cgk,ark:/21198/z1x947mv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x947mv
ark:/21198/z1pv8cgk,ark:/21198/z1sj3gxk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3gxk
ark:/21198/z1pv8cgk,ark:/21198/z1ns2r85,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2r85
ark:/21198/z1pv8cgk,ark:/21198/z1j120j4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j120j4
ark:/21198/z1pv8cgk,ark:/21198/z1d817rh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d817rh
ark:/21198/z1pv8cgk,ark:/21198/z18h0h16,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0h16
ark:/21198/z1pv8cgk,ark:/21198/z14t8fq7,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8fq7
ark:/21198/z1pv8cgk,ark:/21198/z1127pzc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127pzc
ark:/21198/z1pv8cgk,ark:/21198/z1w976hx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w976hx
ark:/21198/z1pv8cgk,ark:/21198/z1rj6ftn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6ftn
ark:/21198/z1pv8cgk,ark:/21198/z1ms5q4s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5q4s
ark:/21198/z1pv8cgk,ark:/21198/z1h14zbg,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0016.tif,Page,Page 16,16,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14zbg
ark:/21198/z1pv8cgk,ark:/21198/z1c846m4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0017.tif,Page,Page 17,17,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c846m4
ark:/21198/z1pv8cgk,ark:/21198/z17m2577,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0018.tif,Page,Page 18,18,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2577
ark:/21198/z1pv8cgk,ark:/21198/z13v1dhh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0019.tif,Page,Page 19,19,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v1dhh
ark:/21198/z1pv8cgk,ark:/21198/z1030ntj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0020.tif,Page,Page 20,20,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030ntj
ark:/21198/z1pv8cgk,ark:/21198/z1vb05dj,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0021.tif,Page,Page 21,21,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb05dj
ark:/21198/z1pv8cgk,ark:/21198/z1qj9dmc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0003_0022.tif,Page,Page 22,22,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj9dmc
