Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1rf7n4h,ark:/21198/z1321rv6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321rv6
ark:/21198/z1rf7n4h,ark:/21198/z1zc9zvk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9zvk
ark:/21198/z1rf7n4h,ark:/21198/z1tm9736,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm9736
ark:/21198/z1rf7n4h,ark:/21198/z1pv8g9k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8g9k
ark:/21198/z1rf7n4h,ark:/21198/z1k37qjq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37qjq
ark:/21198/z1rf7n4h,ark:/21198/z1fb6zvf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6zvf
ark:/21198/z1rf7n4h,ark:/21198/z19k676d,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k676d
ark:/21198/z1rf7n4h,ark:/21198/z15t5gh4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gh4
ark:/21198/z1rf7n4h,ark:/21198/z1253f50,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253f50
ark:/21198/z1rf7n4h,ark:/21198/z1xd2xnv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2xnv
ark:/21198/z1rf7n4h,ark:/21198/z1sn25w2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0018_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn25w2
