Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z12z2zk4,ark:/21198/z1321s9f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321s9f
ark:/21198/z12z2zk4,ark:/21198/z1z918t4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z918t4
ark:/21198/z12z2zk4,ark:/21198/z1tj0j1x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0j1x
ark:/21198/z12z2zk4,ark:/21198/z1pr9s9n,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9s9n
ark:/21198/z12z2zk4,ark:/21198/z1k091nh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k091nh
ark:/21198/z12z2zk4,ark:/21198/z1f788xs,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f788xs
ark:/21198/z12z2zk4,ark:/21198/z19g7j6g,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7j6g
ark:/21198/z12z2zk4,ark:/21198/z15t5gxh,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gxh
ark:/21198/z12z2zk4,ark:/21198/z1224r52,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224r52
ark:/21198/z12z2zk4,ark:/21198/z1x947n9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x947n9
ark:/21198/z12z2zk4,ark:/21198/z1sj3gz1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0031_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3gz1
