Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z13n3wh0,ark:/21198/z1pp12f1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp12f1
ark:/21198/z13n3wh0,ark:/21198/z1k0911f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k0911f
ark:/21198/z13n3wh0,ark:/21198/z1f788b5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f788b5
ark:/21198/z13n3wh0,ark:/21198/z19g7hk0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7hk0
ark:/21198/z13n3wh0,ark:/21198/z15q6rsc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6rsc
ark:/21198/z13n3wh0,ark:/21198/z11z613w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z613w
ark:/21198/z13n3wh0,ark:/21198/z1x65hpd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65hpd
ark:/21198/z13n3wh0,ark:/21198/z1sj3g9h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3g9h
ark:/21198/z13n3wh0,ark:/21198/z1ns2qp4,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2qp4
ark:/21198/z13n3wh0,ark:/21198/z1j1200z,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j1200z
ark:/21198/z13n3wh0,ark:/21198/z1d8176b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d8176b
ark:/21198/z13n3wh0,ark:/21198/z18h0gf5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0gf5
ark:/21198/z13n3wh0,ark:/21198/z14q9qpf,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0100_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9qpf
