Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z13n3wkw,ark:/21198/z1418tjm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418tjm
ark:/21198/z13n3wkw,ark:/21198/z10c6s5q,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6s5q
ark:/21198/z13n3wkw,ark:/21198/z1vm68qv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm68qv
ark:/21198/z13n3wkw,ark:/21198/z1qv5j10,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5j10
ark:/21198/z13n3wkw,ark:/21198/z1m34s67,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34s67
ark:/21198/z13n3wkw,ark:/21198/z1gb41ff,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb41ff
ark:/21198/z13n3wkw,ark:/21198/z1bk38r5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk38r5
ark:/21198/z13n3wkw,ark:/21198/z16t2j46,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2j46
ark:/21198/z13n3wkw,ark:/21198/z1350gsn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350gsn
ark:/21198/z13n3wkw,ark:/21198/z1zd00cn,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0085_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd00cn
