Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z14f3hs8,ark:/21198/z1sx89nm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx89nm
ark:/21198/z14f3hs8,ark:/21198/z1p57jx6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jx6
ark:/21198/z14f3hs8,ark:/21198/z1jd6t8s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6t8s
ark:/21198/z14f3hs8,ark:/21198/z1dr4rxx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4rxx
ark:/21198/z14f3hs8,ark:/21198/z1904186,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904186
ark:/21198/z14f3hs8,ark:/21198/z15738jg,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15738jg
ark:/21198/z14f3hs8,ark:/21198/z11g2hrv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2hrv
ark:/21198/z14f3hs8,ark:/21198/z1wq217h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq217h
ark:/21198/z14f3hs8,ark:/21198/z1rz18gb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz18gb
ark:/21198/z14f3hs8,ark:/21198/z1n60hv8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0108_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60hv8
