Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z17d4n68,ark:/21198/z1m34r4x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34r4x
ark:/21198/z17d4n68,ark:/21198/z1gb40dk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb40dk
ark:/21198/z17d4n68,ark:/21198/z1bk37q9,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk37q9
ark:/21198/z17d4n68,ark:/21198/z16t2h2w,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2h2w
ark:/21198/z17d4n68,ark:/21198/z1321r91,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321r91
ark:/21198/z17d4n68,ark:/21198/z1z917tq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z917tq
ark:/21198/z17d4n68,ark:/21198/z1tm96h5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm96h5
ark:/21198/z17d4n68,ark:/21198/z1pv8fr0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8fr0
ark:/21198/z17d4n68,ark:/21198/z1k37q10,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37q10
ark:/21198/z17d4n68,ark:/21198/z1fb6zbq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6zbq
ark:/21198/z17d4n68,ark:/21198/z19k66nt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k66nt
ark:/21198/z17d4n68,ark:/21198/z15t5fx3,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5fx3
ark:/21198/z17d4n68,ark:/21198/z1224q5n,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224q5n
ark:/21198/z17d4n68,ark:/21198/z1xd2x27,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0014.tif,Page,Page 14,14,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2x27
ark:/21198/z17d4n68,ark:/21198/z1sn25bw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0015.tif,Page,Page 15,15,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn25bw
ark:/21198/z17d4n68,ark:/21198/z1nw1dm5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0016.tif,Page,Page 16,16,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1dm5
ark:/21198/z17d4n68,ark:/21198/z1j40nx6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0017.tif,Page,Page 17,17,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40nx6
ark:/21198/z17d4n68,ark:/21198/z1db9x87,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0018.tif,Page,Page 18,18,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9x87
ark:/21198/z17d4n68,ark:/21198/z18k95g0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0019.tif,Page,Page 19,19,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k95g0
ark:/21198/z17d4n68,ark:/21198/z14t8dsq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0020.tif,Page,Page 20,20,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8dsq
ark:/21198/z17d4n68,ark:/21198/z1156cg1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0021.tif,Page,Page 21,21,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156cg1
ark:/21198/z17d4n68,ark:/21198/z1wd5vzw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0003_0022.tif,Page,Page 22,22,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5vzw
