Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1253bb0,ark:/21198/z13b7whd,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7whd
ark:/21198/z1253bb0,ark:/21198/z1zk7d1h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7d1h
ark:/21198/z1253bb0,ark:/21198/z1tx5bs0,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5bs0
ark:/21198/z1253bb0,ark:/21198/z1q54m03,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54m03
ark:/21198/z1253bb0,ark:/21198/z1kd3v7x,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3v7x
ark:/21198/z1253bb0,ark:/21198/z1fn33j1,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn33j1
ark:/21198/z1253bb0,ark:/21198/z19w2bw6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2bw6
ark:/21198/z1253bb0,ark:/21198/z1641m39,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641m39
ark:/21198/z1253bb0,ark:/21198/z12c0vck,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0vck
ark:/21198/z1253bb0,ark:/21198/z1xp929f,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp929f
ark:/21198/z1253bb0,ark:/21198/z1sx89j8,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx89j8
ark:/21198/z1253bb0,ark:/21198/z1p57jtv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57jtv
ark:/21198/z1253bb0,ark:/21198/z1jd6t40,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_t0008_0013.tif,Page,Page 13,13,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6t40
