Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1544fkb,ark:/21198/z1vx2c1q,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2c1q
ark:/21198/z1544fkb,ark:/21198/z1r51m8v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51m8v
ark:/21198/z1544fkb,ark:/21198/z1mg9jzw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9jzw
ark:/21198/z1544fkb,ark:/21198/z1gq8t7k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8t7k
ark:/21198/z1544fkb,ark:/21198/z1bz82fb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz82fb
ark:/21198/z1544fkb,ark:/21198/z17679qx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17679qx
ark:/21198/z1544fkb,ark:/21198/z13f6k2h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6k2h
ark:/21198/z1544fkb,ark:/21198/z1zp62k6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp62k6
ark:/21198/z1544fkb,ark:/21198/z1tx59wx,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx59wx
ark:/21198/z1544fkb,ark:/21198/z1q838js,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q838js
ark:/21198/z1544fkb,ark:/21198/z1kh2hsm,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2hsm
ark:/21198/z1544fkb,ark:/21198/z1fr1s1v,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0081_0012.tif,Page,Page 12,12,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1s1v
