Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z19s3j3q,ark:/21198/z1n896k2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n896k2
ark:/21198/z19s3j3q,ark:/21198/z1hm7582,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7582
ark:/21198/z19s3j3q,ark:/21198/z1cv6djb,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0003.tif,Page,Page 3,3,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6djb
ark:/21198/z19s3j3q,ark:/21198/z1835nvc,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0004.tif,Page,Page 4,4,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835nvc
ark:/21198/z19s3j3q,ark:/21198/z14b4x5h,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0005.tif,Page,Page 5,5,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4x5h
ark:/21198/z19s3j3q,ark:/21198/z10k45f5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0006.tif,Page,Page 6,6,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k45f5
ark:/21198/z19s3j3q,ark:/21198/z1vt3nwk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0007.tif,Page,Page 7,7,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3nwk
ark:/21198/z19s3j3q,ark:/21198/z1r22x5k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0008.tif,Page,Page 8,8,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22x5k
ark:/21198/z19s3j3q,ark:/21198/z1md0vv5,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0009.tif,Page,Page 9,9,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0vv5
ark:/21198/z19s3j3q,ark:/21198/z1gn0447,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0010.tif,Page,Page 10,10,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0447
ark:/21198/z19s3j3q,ark:/21198/z1bv9cgv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0083_0011.tif,Page,Page 11,11,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9cgv
