"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1418q3j","ark:/21198/z1fv0gw0","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0gw0",""
"ark:/21198/z1418q3j","ark:/21198/z1b29r5f","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29r5f",""
"ark:/21198/z1418q3j","ark:/21198/z16d7pv1","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7pv1",""
"ark:/21198/z1418q3j","ark:/21198/z12n6z38","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6z38",""
"ark:/21198/z1418q3j","ark:/21198/z1xw6fnd","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6fnd",""
"ark:/21198/z1418q3j","ark:/21198/z1t45pzf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45pzf",""
"ark:/21198/z1418q3j","ark:/21198/z1pc4z8k","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4z8k",""
"ark:/21198/z1418q3j","ark:/21198/z1jm46j7","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm46j7",""
"ark:/21198/z1418q3j","ark:/21198/z1dv3frm","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3frm",""
"ark:/21198/z1418q3j","ark:/21198/z1961ddg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961ddg",""
"ark:/21198/z1418q3j","ark:/21198/z15f0npr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0npr",""
"ark:/21198/z1418q3j","ark:/21198/z11n9wzg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9wzg",""
"ark:/21198/z1418q3j","ark:/21198/z1ww9djg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9djg",""
"ark:/21198/z1418q3j","ark:/21198/z1s48nvh","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48nvh",""
"ark:/21198/z1418q3j","ark:/21198/z1nc7x3r","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7x3r",""
"ark:/21198/z1418q3j","ark:/21198/z1hm759h","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0016.tif","Page","Page 16","16","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm759h",""
"ark:/21198/z1418q3j","ark:/21198/z1cz542d","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0017.tif","Page","Page 17","17","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz542d",""
"ark:/21198/z1418q3j","ark:/21198/z1864c9j","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0100_0018.tif","Page","Page 18","18","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864c9j",""
