"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z14f3hqc","ark:/21198/z1gn03wp","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn03wp",""
"ark:/21198/z14f3hqc","ark:/21198/z1bv9c7q","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9c7q",""
"ark:/21198/z14f3hqc","ark:/21198/z1738mjr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738mjr",""
"ark:/21198/z14f3hqc","ark:/21198/z13b7vsk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7vsk",""
"ark:/21198/z14f3hqc","ark:/21198/z1zk7c87","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7c87",""
"ark:/21198/z14f3hqc","ark:/21198/z1tt6mh2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6mh2",""
"ark:/21198/z14f3hqc","ark:/21198/z1q54k6c","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54k6c",""
"ark:/21198/z14f3hqc","ark:/21198/z1kd3tgn","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3tgn",""
"ark:/21198/z14f3hqc","ark:/21198/z1fn32sr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn32sr",""
"ark:/21198/z14f3hqc","ark:/21198/z19w2b4b","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2b4b",""
"ark:/21198/z14f3hqc","ark:/21198/z1641kb1","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641kb1",""
"ark:/21198/z14f3hqc","ark:/21198/z12c0tkv","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0tkv",""
"ark:/21198/z14f3hqc","ark:/21198/z1xm0b3z","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm0b3z",""
"ark:/21198/z14f3hqc","ark:/21198/z1sx88rj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx88rj",""
"ark:/21198/z14f3hqc","ark:/21198/z1p57j20","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57j20",""
"ark:/21198/z14f3hqc","ark:/21198/z1jd6scq","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0016.tif","Page","Page 16","16","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6scq",""
"ark:/21198/z14f3hqc","ark:/21198/z1dn61nc","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cch0075_0017.tif","Page","Page 17","17","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn61nc",""
